County,FacilityName,CMS_ProvNum,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,Closed_Outbreaks,Open_Outbreaks,facilities
Cook,Ludeman Developmental Center,No Match,2020-06-05,316,10,0.03164556962025317,1,0,1,1
Cook,City View Multi Care Center,145850,2020-06-05,244,14,0.05737704918032787,1,0,1,1
Cook,Woodbridge Nursing Pavilion,145792,2020-06-05,219,35,0.1598173515981735,1,0,1,1
Cook,Symphony at Midway,145995,2020-06-05,213,21,0.09859154929577464,1,0,1,1
Cook,Peterson Park Health Care,145838,2020-06-05,208,32,0.15384615384615385,1,0,1,1
Cook,Symphony of Morgan Park,145764,2020-06-05,194,22,0.1134020618556701,1,0,1,1
Will,Meadowbrook Manor of Bolingbrook,No Match,2020-06-05,188,40,0.2127659574468085,1,0,1,1
Lake,Avantara Long Grove,145868,2020-06-05,188,23,0.12234042553191489,1,0,1,1
Cook,Symphony of South Shore,145977,2020-06-05,185,24,0.12972972972972974,1,0,1,1
Cook,Symphony of Lincoln Park,145510,2020-06-05,179,25,0.13966480446927373,1,0,1,1
Cook,Elevate Care Chicago North,145484,2020-06-05,173,32,0.18497109826589594,1,0,1,1
Cook,Niles Nursing and Rehab Center,145696,2020-06-05,170,38,0.2235294117647059,1,0,1,1
DuPage,Manorcare Hinsdale,145246,2020-06-05,167,29,0.17365269461077845,1,0,1,1
Cook,California Gardens Nursing and Rehabilitation Cent,145625,2020-06-05,157,5,0.03184713375796178,1,0,1,1
Cook,Villa at Windsor Park,145970,2020-06-05,157,40,0.25477707006369427,1,0,1,1
Cook,Mayfield Care Center,145885,2020-06-05,154,21,0.13636363636363635,1,0,1,1
Kankakee,Samuel H. Shapiro Developmental Center,No Match,2020-06-05,138,1,0.007246376811594203,1,0,1,1
Cook,Fairmont Care,145867,2020-06-05,135,27,0.2,1,0,1,1
Cook,Bria Forest Edge,145864,2020-06-05,135,2,0.014814814814814815,1,0,1,1
Kane,Tower Hill Healthcare Center,145795,2020-06-05,134,18,0.13432835820895522,1,0,1,1
DuPage,Bria of Westmont,145405,2020-06-05,133,22,0.16541353383458646,1,0,1,1
Will,symphony of joliet,145372,2020-06-05,132,25,0.1893939393939394,1,0,1,1
Kane,Bria of Geneva,146067,2020-06-05,132,27,0.20454545454545456,1,0,1,1
Cook,Harmony Healthcare and Rehab,145775,2020-06-05,127,25,0.1968503937007874,1,0,1,1
Cook,Mosaic of Lakeshore,145244,2020-06-05,123,26,0.21138211382113822,1,0,1,1
Cook,Uptown Health Center,145881,2020-06-05,122,16,0.13114754098360656,1,0,1,1
Sangamon,Villa East,145721,2020-06-05,119,23,0.19327731092436976,1,0,1,1
Cook,Midway Neuro and Rehab,145778,2020-06-05,118,10,0.0847457627118644,1,0,1,1
Cook,Symphony at 87th,145983,2020-06-05,117,16,0.13675213675213677,1,0,1,1
Cook,Carlton at the Lake,145679,2020-06-05,116,17,0.14655172413793102,1,0,1,1
Kane,Symphony of Orchard Valley,145473,2020-06-05,114,20,0.17543859649122806,1,0,1,1
DuPage,Forestview Rehabilitation & Nursing Center,145752,2020-06-05,111,9,0.08108108108108109,1,0,1,1
Cook,Glenview Terrace,145268,2020-06-05,110,31,0.2818181818181818,1,0,1,1
Cook,Golfview Developmental Center,No Match,2020-06-05,107,11,0.102803738317757,1,0,1,1
Cook,Aperion Care International of Chicago,146001,2020-06-05,104,15,0.14423076923076922,1,0,1,1
Cook,Generations at Regency,145237,2020-06-05,104,27,0.25961538461538464,1,0,1,1
St. Clair,Four Fountains,No Match,2020-06-05,104,25,0.2403846153846154,1,0,1,1
Cook,Astoria Place of Chicago,145634,2020-06-05,104,20,0.19230769230769232,1,0,1,1
Cook,Ambassador Nursing,145343,2020-06-05,101,11,0.10891089108910891,1,0,1,1
DuPage,Windsor Park Manor,No Match,2020-06-05,99,21,0.21212121212121213,1,0,1,1
Cook,Atrium Health Care Center,145479,2020-06-05,97,10,0.10309278350515463,1,0,1,1
Cook,Clark Manor,145507,2020-06-05,97,12,0.12371134020618557,1,0,1,1
DuPage,Oakbrook Care,145458,2020-06-05,95,19,0.2,1,0,1,1
Macon,Fairhavens Senior Living,145422,2020-06-05,93,19,0.20430107526881722,1,0,1,1
Madison,Edwardsville Care Center,145555,2020-06-05,93,22,0.23655913978494625,1,0,1,1
Cook,ManorCare ElkGrove Village,145689,2020-06-05,91,15,0.16483516483516483,1,0,1,1
DuPage,Alden Estates of Naperville,145582,2020-06-05,90,21,0.23333333333333334,1,0,1,1
Cook,Addolorata Villa,145724,2020-06-05,90,13,0.14444444444444443,1,0,1,1
Lake,Aperion Care Highwood,145936,2020-06-05,88,8,0.09090909090909091,1,0,1,1
Cook,Generations at Elmwood Park,145419,2020-06-05,87,17,0.19540229885057472,1,0,1,1
Cook,Bellhaven Nursing and Rehabilitation,145549,2020-06-05,87,8,0.09195402298850575,1,0,1,1
Boone,Symphony Northwoods,No Match,2020-06-05,87,13,0.14942528735632185,1,0,1,1
Cook,Landmark of Des Plaines,145334,2020-06-05,87,20,0.22988505747126436,1,0,1,1
Cook,Austin Oasis,145834,2020-06-05,85,6,0.07058823529411765,1,0,1,1
Cook,Bria River Oaks,145735,2020-06-05,85,2,0.023529411764705882,1,0,1,1
Cook,Central Nursing Home,145648,2020-06-05,85,17,0.2,1,0,1,1
Clinton,Carlyle HealthCare Center,145729,2020-06-05,85,15,0.17647058823529413,1,0,1,1
Coles,Charleston Rehab and Healthcare,145636,2020-06-05,84,15,0.17857142857142858,1,0,1,1
Cook,Chalet Living And Rehab Center,145670,2020-06-05,84,10,0.11904761904761904,1,0,1,1
Cook,Center Home for Hispanic Elderly,146062,2020-06-05,84,30,0.35714285714285715,1,0,1,1
Cook,Community Care Nursing Home,146164,2020-06-05,83,6,0.07228915662650602,1,0,1,1
Cook,Aperion Care Oak Lawn,145197,2020-06-05,82,18,0.21951219512195122,1,0,1,1
Cook,Bria of Palos Hills,145650,2020-06-05,81,11,0.13580246913580246,1,0,1,1
Union,Integrity of Anna,146006,2020-06-05,80,8,0.1,1,0,1,1
Cook,Alden Estates of Northmoor,145888,2020-06-05,79,17,0.21518987341772153,1,0,1,1
