County,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,facilities
Cook,2020-06-12,11768,1959,0.1664683888511217,272,272
DuPage,2020-06-12,1949,340,0.17444843509492047,59,59
Lake,2020-06-12,1552,241,0.15528350515463918,46,46
Kane,2020-06-12,813,135,0.16605166051660517,33,33
Will,2020-06-12,767,151,0.196870925684485,29,29
St. Clair,2020-06-12,463,76,0.16414686825053995,13,13
McHenry,2020-06-12,371,69,0.18598382749326145,11,11
Kankakee,2020-06-12,315,36,0.11428571428571428,12,12
Winnebago,2020-06-12,287,49,0.17073170731707318,17,17
Madison,2020-06-12,233,55,0.23605150214592274,8,8
Clinton,2020-06-12,179,17,0.09497206703910614,4,4
Rock Island,2020-06-12,153,22,0.1437908496732026,9,9
Peoria,2020-06-12,144,17,0.11805555555555555,7,7
Union,2020-06-12,129,15,0.11627906976744186,3,3
Sangamon,2020-06-12,129,26,0.20155038759689922,3,3
Macon,2020-06-12,102,22,0.21568627450980393,4,4
Boone,2020-06-12,93,13,0.13978494623655913,2,2
Coles,2020-06-12,84,16,0.19047619047619047,2,2
DeKalb,2020-06-12,79,10,0.12658227848101267,3,3
Lee,2020-06-12,76,1,0.013157894736842105,1,1
Jefferson,2020-06-12,73,15,0.2054794520547945,1,1
McLean,2020-06-12,65,10,0.15384615384615385,3,3
McDonough,2020-06-12,63,16,0.25396825396825395,3,3
Kendall,2020-06-12,58,14,0.2413793103448276,3,3
Whiteside,2020-06-12,53,9,0.16981132075471697,4,4
Jasper,2020-06-12,49,8,0.16326530612244897,1,1
Jackson,2020-06-12,47,11,0.23404255319148937,2,2
Morgan,2020-06-12,47,1,0.02127659574468085,1,1
Iroquois,2020-06-12,47,4,0.0851063829787234,2,2
Monroe,2020-06-12,46,11,0.2391304347826087,3,3
LaSalle,2020-06-12,42,10,0.23809523809523808,1,1
Champaign,2020-06-12,19,1,0.05263157894736842,3,3
Tazewell,2020-06-12,15,4,0.26666666666666666,2,2
Grundy,2020-06-12,12,0,0.0,1,1
Wayne,2020-06-12,6,1,0.16666666666666666,1,1
Macoupin,2020-06-12,6,0,0.0,2,2
Shelby,2020-06-12,6,0,0.0,1,1
Randolph,2020-06-12,4,0,0.0,2,2
Stephenson,2020-06-12,2,0,0.0,1,1
Ford,2020-06-12,2,0,0.0,1,1
Montgomery,2020-06-12,2,0,0.0,1,1
Jo Daviess,2020-06-12,2,0,0.0,1,1
Christian,2020-06-12,2,0,0.0,1,1
Ogle,2020-06-12,2,0,0.0,1,1
