County,FacilityName,confirmed_cases,deaths,status,reporting_date,% deaths,num of facilities
Boone,Park Place of Belvidere,6,0,Open,2020-06-12,0.0,1
Boone,Symphony Northwoods,87,13,Open,2020-06-12,0.14942528735632185,1
Champaign,Champaign-Urbana Nursing and Rehab,2,0,Open,2020-06-12,0.0,1
Champaign,Reflections Memory Care,12,1,Open,2020-06-12,0.08333333333333333,1
Champaign,University Rehab Center,5,0,Open,2020-06-12,0.0,1
Christian,Villas of Holly Brook,2,0,Open,2020-06-12,0.0,1
Clinton,Carlyle HealthCare Center,85,16,Open,2020-06-12,0.18823529411764706,1
Clinton,Clinton Manor Living Facility,29,1,Open,2020-06-12,0.034482758620689655,1
Clinton,Villa Catherine,4,0,Open,2020-06-12,0.0,1
Clinton,Warrren G Murray Develpmental Center,61,0,Open,2020-06-12,0.0,1
Coles,Charleston Rehab and Healthcare,82,16,Open,2020-06-12,0.1951219512195122,1
Coles,Mattoon Healthcare,2,0,Open,2020-06-12,0.0,1
Cook,Abington of Glenview,6,0,Open,2020-06-12,0.0,1
Cook,Addolorata Villa,93,14,Open,2020-06-12,0.15053763440860216,1
Cook,Albany Care,13,0,Open,2020-06-12,0.0,1
Cook,Alden Estates Des Plaines,13,2,Open,2020-06-12,0.15384615384615385,1
Cook,Alden Estates of Barrington,5,0,Open,2020-06-12,0.0,1
Cook,Alden Estates of Evanston,13,2,Open,2020-06-12,0.15384615384615385,1
Cook,Alden Estates of Northmoor,81,19,Open,2020-06-12,0.2345679012345679,1
Cook,Alden Estates of Orland Park,25,12,Open,2020-06-12,0.48,1
Cook,Alden Estates of Skokie,5,0,Open,2020-06-12,0.0,1
Cook,Alden Lakeland,16,1,Open,2020-06-12,0.0625,1
Cook,Alden Lincoln Park Rehab,71,10,Open,2020-06-12,0.14084507042253522,1
Cook,Alden North Shore,3,1,Open,2020-06-12,0.3333333333333333,1
Cook,Alden PoplarCreek,22,4,Open,2020-06-12,0.18181818181818182,1
Cook,Alden Princeton Rehab & Health,48,10,Open,2020-06-12,0.20833333333333334,1
Cook,Alden Town Manor Care,7,0,Open,2020-06-12,0.0,1
Cook,Alden Village North,6,0,Open,2020-06-12,0.0,1
Cook,Alden Wentworth  Rehab & Healthcare Center,65,13,Open,2020-06-12,0.2,1
Cook,All American Nursing Home,33,4,Open,2020-06-12,0.12121212121212122,1
Cook,All Saints,2,0,Open,2020-06-12,0.0,1
Cook,Ambassador Nursing,101,11,Open,2020-06-12,0.10891089108910891,1
Cook,AMITA Health Holy Family Medical Center ,19,0,Open,2020-06-12,0.0,1
Cook,Aperion Care Burbank,5,1,Open,2020-06-12,0.2,1
Cook,Aperion Care Chicago Heights,13,1,Open,2020-06-12,0.07692307692307693,1
Cook,Aperion Care Dolton,28,5,Open,2020-06-12,0.17857142857142858,1
Cook,Aperion Care Evanston,25,2,Open,2020-06-12,0.08,1
Cook,Aperion Care Forest Park,21,1,Open,2020-06-12,0.047619047619047616,1
Cook,Aperion Care International of Chicago,113,20,Open,2020-06-12,0.17699115044247787,1
Cook,Aperion Care Midlothian,3,0,Open,2020-06-12,0.0,1
Cook,Aperion Care Oak Lawn,87,20,Open,2020-06-12,0.22988505747126436,1
Cook,Aperion Care Plum Grove,43,4,Open,2020-06-12,0.09302325581395349,1
Cook,Aperion Care West Ridge,33,11,Open,2020-06-12,0.3333333333333333,1
Cook,Arbour Health Care Center,48,3,Open,2020-06-12,0.0625,1
Cook,Arden Courts/Manor Care of South Holland ,29,5,Open,2020-06-12,0.1724137931034483,1
Cook,Arden Courts of Elk Grove,21,5,Open,2020-06-12,0.23809523809523808,1
Cook,Arden Courts of Palos Heights,37,10,Open,2020-06-12,0.2702702702702703,1
Cook,Artis Senior Living of Lakeview,34,8,Open,2020-06-12,0.23529411764705882,1
Cook,Asbury Court Senior Living,5,0,Open,2020-06-12,0.0,1
Cook,Aspire Living Prospect Heights,10,0,Open,2020-06-12,0.0,1
Cook,Astoria Place of Chicago,105,20,Open,2020-06-12,0.19047619047619047,1
Cook,Atria Glenview,3,0,Open,2020-06-12,0.0,1
Cook,Atrium Health Care Center,97,10,Open,2020-06-12,0.10309278350515463,1
Cook,Austin Oasis,101,8,Open,2020-06-12,0.07920792079207921,1
Cook,Autumn Green at Wright Campus,2,0,Open,2020-06-12,0.0,1
Cook,Avantara Evergreen Park,76,20,Open,2020-06-12,0.2631578947368421,1
Cook,Avantara Park Ridge,4,2,Open,2020-06-12,0.5,1
Cook,Avanti Wellness & Rehabilitation ,87,16,Open,2020-06-12,0.1839080459770115,1
Cook,Avenues to Independence,11,0,Open,2020-06-12,0.0,1
Cook,Balmoral Home,20,0,Open,2020-06-12,0.0,1
Cook,Barton Senior Living,2,0,Open,2020-06-12,0.0,1
Cook,Beacon Care Center,85,14,Open,2020-06-12,0.16470588235294117,1
Cook,Bella Terra Morton Grove,58,9,Open,2020-06-12,0.15517241379310345,1
Cook,Bella Terra Streamwood,10,2,Open,2020-06-12,0.2,1
