County,FacilityName,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,facilities
Cook,Ludeman Developmental Center,2020-08-14,331,10,0.030211480362537766,1,1
Cook,City View Multi Care Center,2020-08-14,252,14,0.05555555555555555,1,1
Lake,Captain James A Lovell FHCC CLC,2020-08-14,234,6,0.02564102564102564,1,1
Lake,Avantara of Long Grove,2020-08-14,221,35,0.1583710407239819,1,1
Lake,Avantara Long Grove,2020-08-14,221,35,0.1583710407239819,1,1
Cook,Symphony at Midway,2020-08-14,219,28,0.1278538812785388,1,1
Cook,Woodbridge Nursing Pavilion,2020-08-14,219,40,0.182648401826484,1,1
Cook,Peterson Park Health Care,2020-08-14,213,35,0.1643192488262911,1,1
Cook,Niles Nursing and Rehab Center,2020-08-14,209,48,0.22966507177033493,1,1
Cook,Glenview Terrace,2020-08-14,196,35,0.17857142857142858,1,1
Cook,Symphony of Morgan Park,2020-08-14,192,26,0.13541666666666666,1,1
Will,Meadowbrook Manor of Bolingbrook,2020-08-14,188,41,0.21808510638297873,1,1
Cook,Symphony of Lincoln Park,2020-08-14,185,30,0.16216216216216217,1,1
Cook,Symphony of South Shore,2020-08-14,185,28,0.15135135135135136,1,1
Kankakee,Samuel H. Shapiro Developmental Center,2020-08-14,176,1,0.005681818181818182,1,1
Cook,Elevate Care Chicago North,2020-08-14,175,34,0.19428571428571428,1,1
Cook,Symphony at 87th,2020-08-14,171,34,0.19883040935672514,1,1
DuPage,Manorcare Hinsdale,2020-08-14,168,33,0.19642857142857142,1,1
Kane,Tower Hill Healthcare Center,2020-08-14,166,30,0.18072289156626506,1,1
Cook,Norridge Gardens,2020-08-14,166,44,0.26506024096385544,1,1
Cook,Villa at Windsor Park,2020-08-14,164,48,0.2926829268292683,1,1
Cook,California Gardens Nursing and Rehabilitation Cent,2020-08-14,155,5,0.03225806451612903,1,1
Cook,Mayfield Care Center,2020-08-14,154,23,0.14935064935064934,1,1
DuPage,Bria of Westmont,2020-08-14,152,27,0.17763157894736842,1,1
Cook,Fairmont Care,2020-08-14,152,33,0.21710526315789475,1,1
Cook,Aperion Care International of Chicago,2020-08-14,138,23,0.16666666666666666,1,1
Cook,Bria Forest Edge,2020-08-14,138,2,0.014492753623188406,1,1
Cook,Midway Neuro and Rehab,2020-08-14,137,12,0.08759124087591241,1,1
Kane,Bria of Geneva,2020-08-14,135,30,0.2222222222222222,1,1
Cook,Harmony Healthcare and Rehab,2020-08-14,131,29,0.22137404580152673,1,1
Will,symphony of joliet,2020-08-14,130,25,0.19230769230769232,1,1
Cook,Generations at Regency,2020-08-14,129,33,0.2558139534883721,1,1
Cook,Clark Manor,2020-08-14,124,15,0.12096774193548387,1,1
Sangamon,Villa East,2020-08-14,122,26,0.21311475409836064,1,1
Cook,Uptown Health Center,2020-08-14,120,17,0.14166666666666666,1,1
