County,FacilityName,confirmed_cases,deaths,status,reporting_date,% deaths
Adams,Adams Pointe Senior Living,4,0,Closed,2020-08-21,0.0
Adams,Bradford Villa,7,1,Open,2020-08-21,0.14285714285714285
Adams,Good Samaritan Home,3,0,Open,2020-08-21,0.0
Adams,Illinois Veterans Home,29,1,Open,2020-08-21,0.034482758620689655
Adams,Senior Center,4,2,Open,2020-08-21,0.5
Bond,Greenville Nursing & Rehab,4,0,Open,2020-08-21,0.0
Boone,Park Place of Belvidere,6,0,Closed,2020-08-21,0.0
Boone,Symphony Northwoods,89,16,Open,2020-08-21,0.1797752808988764
Bureau,St. Margarets Living Center,3,0,Open,2020-08-21,0.0
Carroll,Big Meadows Nursing Home,22,2,Open,2020-08-21,0.09090909090909091
Cass,Heritage Health,5,0,Open,2020-08-21,0.0
Cass,Walker Nursing Home,57,11,Closed,2020-08-21,0.19298245614035087
Champaign,Champaign-Urbana Nursing and Rehab,4,1,Closed,2020-08-21,0.25
Champaign,Country Health and Rehab,7,0,Open,2020-08-21,0.0
Champaign,Green House Homes at Clark-Lindsey,2,0,Open,2020-08-21,0.0
Champaign,Reflections Memory Care,28,4,Closed,2020-08-21,0.14285714285714285
Champaign,University Rehab Center,5,0,Closed,2020-08-21,0.0
Champaign,Villas of Hollybrook-Rantoul,5,0,Open,2020-08-21,0.0
Christian,Prairie Rose,2,0,Open,2020-08-21,0.0
Christian,taylorville care center,3,0,Open,2020-08-21,0.0
Christian,Villas of Holly Brook,2,0,Closed,2020-08-21,0.0
Clark,Villas of Holly Brook Marshall,8,0,Open,2020-08-21,0.0
Clinton,Carlyle HealthCare Center,85,15,Closed,2020-08-21,0.17647058823529413
Clinton,Clinton Manor Living Facility,5,0,Open,2020-08-21,0.0
Clinton,Clinton Manor Living Facility,31,1,Closed,2020-08-21,0.03225806451612903
Clinton,Villa Catherine,7,0,Closed,2020-08-21,0.0
Clinton,Warrren G Murray Develpmental Center,62,0,Closed,2020-08-21,0.0
Coles,Charleston Rehab and Healthcare,94,17,Open,2020-08-21,0.18085106382978725
Coles,CTF Illinois,3,0,Closed,2020-08-21,0.0
Coles,Mattoon Healthcare,2,0,Closed,2020-08-21,0.0
Coles,Mattoon Healthcare,2,0,Open,2020-08-21,0.0
Coles,Odd Fellow Rebekah,18,3,Open,2020-08-21,0.16666666666666666
Coles,Villas of Holly,3,0,Open,2020-08-21,0.0
Cook,Abington of Glenview,11,1,Closed,2020-08-21,0.09090909090909091
Cook,Addolorata Villa,107,19,Open,2020-08-21,0.17757009345794392
Cook,Alden Estates Des Plaines,13,2,Open,2020-08-21,0.15384615384615385
Cook,Alden Estates of Barrington,13,0,Open,2020-08-21,0.0
Cook,Alden Estates of Evanston,18,2,Open,2020-08-21,0.1111111111111111
Cook,Alden Estates of Northmoor,88,18,Open,2020-08-21,0.20454545454545456
Cook,Alden Estates of Orland Park,40,13,Open,2020-08-21,0.325
Cook,Alden Estates of Skokie,6,0,Closed,2020-08-21,0.0
Cook,Alden Estates of Skokie ,3,0,Open,2020-08-21,0.0
Cook,Alden Lakeland,14,2,Closed,2020-08-21,0.14285714285714285
Cook,Alden Lakeland,14,0,Open,2020-08-21,0.0
Cook,Alden Lincoln Park Rehab,74,12,Closed,2020-08-21,0.16216216216216217
Cook,Alden North Shore,2,0,Closed,2020-08-21,0.0
Cook,Alden North Shore ,4,0,Open,2020-08-21,0.0
Cook,Alden PoplarCreek,83,25,Open,2020-08-21,0.30120481927710846
Cook,Alden Princeton Rehab & Health,54,12,Open,2020-08-21,0.2222222222222222
Cook,Alden Town Manor Care,7,0,Open,2020-08-21,0.0
Cook,Alden Village North,6,0,#MULTIVALUE,2020-08-21,0.0
Cook,Alden Wentworth  Rehab & Healthcare Center,72,15,Open,2020-08-21,0.20833333333333334
Cook,All American Nursing Home,50,4,Open,2020-08-21,0.08
Cook,All Saints,2,0,Open,2020-08-21,0.0
Cook,Ambassador Nursing,116,10,Open,2020-08-21,0.08620689655172414
Cook,AMITA Health Holy Family Medical Center ,29,1,Open,2020-08-21,0.034482758620689655
Cook,Aperion Care Burbank,5,1,Closed,2020-08-21,0.2
Cook,Aperion Care Chicago Heights,18,1,Open,2020-08-21,0.05555555555555555
Cook,Aperion Care Dolton,31,5,Open,2020-08-21,0.16129032258064516
