reporting_date,County,FacilityName,confirmed_cases,deaths,status,CFR,outbreaks
2020-09-25,Adams,Adams Pointe Senior Living,4,0,Closed,0.0,1
2020-09-25,Adams,Bradford Villa,8,1,Open,0.125,1
2020-09-25,Adams,Golden Good Shepperd Home,15,0,Open,0.0,1
2020-09-25,Adams,Good Samaritan Home,7,1,Open,0.14285714285714285,1
2020-09-25,Adams,Illinois Veterans Home,45,2,Open,0.044444444444444446,1
2020-09-25,Adams,Senior Center,4,2,Open,0.5,1
2020-09-25,Bond,Cedarhurst of Greenville,19,0,Open,0.0,1
2020-09-25,Bond,Greenville Nursing & Rehab,10,0,Open,0.0,1
2020-09-25,Boone,Park Place of Belvidere,6,0,Closed,0.0,1
2020-09-25,Boone,Symphony Northwoods,89,16,Closed,0.1797752808988764,1
2020-09-25,Bureau,Aperion Care- Princeton,15,1,Open,0.06666666666666667,1
2020-09-25,Bureau,St. Margarets Living Center,3,0,Open,0.0,1
2020-09-25,Carroll,Big Meadows Nursing Home,26,2,Open,0.07692307692307693,1
2020-09-25,Cass,Heritage Health,8,0,Open,0.0,1
2020-09-25,Cass,Walker Nursing Home,57,11,Closed,0.19298245614035087,1
2020-09-25,Champaign,Bickford Senior Living,10,0,Open,0.0,1
2020-09-25,Champaign,Champaign Urbana Nursing and Rehab,5,0,Open,0.0,1
2020-09-25,Champaign,Champaign-Urbana Nursing and Rehab,4,1,Closed,0.25,1
2020-09-25,Champaign,Country Health and Rehab,7,0,Open,0.0,1
2020-09-25,Champaign,DSC Service Center,2,0,Open,0.0,1
2020-09-25,Champaign,Green House Homes at Clark-Lindsey,2,0,Closed,0.0,1
2020-09-25,Champaign,Illini Heritage Rehab and Health,2,0,Closed,0.0,1
2020-09-25,Champaign,Meadowbrook at Clark-Lindsey,2,0,Open,0.0,1
2020-09-25,Champaign,Reflections Memory Care,28,4,Closed,0.14285714285714285,1
2020-09-25,Champaign,University Rehab Center,5,0,Closed,0.0,1
2020-09-25,Champaign,Villas of Hollybrook-Rantoul,5,0,Closed,0.0,1
2020-09-25,Christian,Heritage Health of Pana,2,0,Open,0.0,1
2020-09-25,Christian,Lifes Journey,8,2,Open,0.25,1
2020-09-25,Christian,Prairie Rose,2,0,Open,0.0,1
2020-09-25,Christian,taylorville care center,6,0,Open,0.0,1
2020-09-25,Christian,Taylorville Estates,2,0,Open,0.0,1
2020-09-25,Christian,Taylorville Hickory Estates,2,0,Open,0.0,1
2020-09-25,Christian,Taylorville Skilled Nursing (fka Meadow Manor),53,4,Open,0.07547169811320754,1
2020-09-25,Christian,Villas of Holly Brook,2,0,Closed,0.0,1
2020-09-25,Clark,Heartland Manor Nursing home,5,0,Open,0.0,1
2020-09-25,Clark,Marshall Rehab,3,0,Open,0.0,1
2020-09-25,Clark,Villas of Holly Brook Marshall,8,0,Open,0.0,1
2020-09-25,Clinton,Carlyle Healthcare Center,6,0,Open,0.0,1
2020-09-25,Clinton,Carlyle HealthCare Center,85,15,Closed,0.17647058823529413,1
2020-09-25,Clinton,Clinton Manor Living Facility,10,0,Open,0.0,1
2020-09-25,Clinton,Clinton Manor Living Facility,31,1,Closed,0.03225806451612903,1
2020-09-25,Clinton,Community Link Assisted Living Facility Aviston,2,0,Open,0.0,1
2020-09-25,Clinton,Villa Catherine,7,0,Closed,0.0,1
2020-09-25,Clinton,Warren G Murray Developmental Center,2,0,Closed,0.0,1
2020-09-25,Clinton,Warren G. Murray Developmental Center,2,0,Open,0.0,1
2020-09-25,Clinton,Warrren G Murray Develpmental Center,62,0,Closed,0.0,1
2020-09-25,Coles,Charleston Rehab and Healthcare,95,16,Closed,0.16842105263157894,1
2020-09-25,Coles,Hilltop Skilled Nursing,67,4,Open,0.05970149253731343,1
2020-09-25,Coles,Mattoon Healthcare,2,0,Closed,0.0,1
2020-09-25,Coles,Mattoon Healthcare,3,0,Closed,0.0,1
2020-09-25,Coles,Odd Fellow Rebekah,28,5,Open,0.17857142857142858,1
2020-09-25,Coles,Villas of Holly,7,0,Closed,0.0,1
2020-09-25,Cook,Autumn Green at Midway Village,3,0,Closed,0.0,1
2020-09-25,Cook,Abington of Glenview,11,1,Closed,0.09090909090909091,1
2020-09-25,Cook,Addolorata Villa,109,20,Open,0.1834862385321101,1
2020-09-25,Cook,Albany Care,13,0,Open,0.0,1
2020-09-25,Cook,Alden Estates Des Plaines,13,2,Open,0.15384615384615385,1
2020-09-25,Cook,Alden Estates of Barrington,15,0,Open,0.0,1
2020-09-25,Cook,Alden Estates of Evanston,18,2,Closed,0.1111111111111111,1
2020-09-25,Cook,Alden Estates of Northmoor,91,18,Open,0.1978021978021978,1
2020-09-25,Cook,Alden Estates of Orland Park,41,13,Open,0.3170731707317073,1
2020-09-25,Cook,Alden Estates of Skokie,6,0,Closed,0.0,1
2020-09-25,Cook,Alden Estates of Skokie ,3,0,Open,0.0,1
2020-09-25,Cook,Alden Lakeland,14,2,Closed,0.14285714285714285,1
2020-09-25,Cook,Alden Lakeland,16,0,Closed,0.0,1
2020-09-25,Cook,Alden Lincoln Park Rehab,74,12,Closed,0.16216216216216217,1
2020-09-25,Cook,Alden North Shore,2,0,Closed,0.0,1
2020-09-25,Cook,Alden North Shore ,4,0,Open,0.0,1
2020-09-25,Cook,Alden PoplarCreek,85,25,Open,0.29411764705882354,1
2020-09-25,Cook,Alden Princeton Rehab & Health,56,12,Closed,0.21428571428571427,1
2020-09-25,Cook,Alden Town Manor Care,7,0,Open,0.0,1
2020-09-25,Cook,Alden Village North,6,0,Closed,0.0,1
2020-09-25,Cook,Alden Village North,8,0,Open,0.0,1
2020-09-25,Cook,Alden Wentworth  Rehab & Healthcare Center,73,15,Open,0.2054794520547945,1
2020-09-25,Cook,All American Nursing Home,50,4,Closed,0.08,1
2020-09-25,Cook,All Saints,3,0,Closed,0.0,1
2020-09-25,Cook,Ambassador Nursing,116,10,Open,0.08620689655172414,1
