County,FacilityName,confirmed_cases,deaths,CFR,outbreaks
Cook,Ludeman Developmental Center,263,9,0.034220532319391636,1
Cook,City View Multi Care Center,249,15,0.060240963855421686,1
Kankakee,Samuel H. Shapiro Developmental Center,232,1,0.004310344827586207,2
Lake,Avantara Long Grove,228,32,0.14035087719298245,1
Cook,Peterson Park Health Care,221,35,0.1583710407239819,2
Cook,Symphony at Midway,220,27,0.12272727272727273,2
Cook,Woodbridge Nursing Pavilion,219,40,0.182648401826484,1
Cook,Niles Nursing and Rehab Center,216,54,0.25,2
Cook,Symphony of Morgan Park,202,26,0.12871287128712872,1
Cook,Symphony of South Shore,197,29,0.14720812182741116,2
Cook,Symphony of Lincoln Park,197,30,0.15228426395939088,2
Cook,Glenview Terrace,190,33,0.1736842105263158,1
Will,Meadowbrook Manor of Bolingbrook,188,41,0.21808510638297873,1
Cook,Aperion Care International of Chicago,187,27,0.1443850267379679,1
Cook,Elevate Care Chicago North,184,34,0.18478260869565216,2
Cook,Symphony at 87th,179,33,0.18435754189944134,1
Lake,Hillcrest Retirement Village,178,18,0.10112359550561797,1
Kane,Tower Hill Healthcare Center,173,30,0.17341040462427745,2
DuPage,Manorcare Hinsdale,168,37,0.22023809523809523,2
Cook,Norridge Gardens,167,46,0.2754491017964072,1
Cook,Villa at Windsor Park,162,44,0.2716049382716049,2
Cook,California Gardens Nursing and Rehabilitation Cent,157,6,0.03821656050955414,1
Cook,Mayfield Care Center,154,23,0.14935064935064934,1
DuPage,Bria of Westmont,152,29,0.19078947368421054,1
Cook,Fairmont Care,151,32,0.2119205298013245,1
Cook,Bria Forest Edge,150,2,0.013333333333333334,1
Cook,Bria River Oaks,145,2,0.013793103448275862,1
Kane,Bria of Geneva,145,30,0.20689655172413793,1
Cook,Midway Neuro and Rehab,142,12,0.08450704225352113,1
Cook,Harmony Healthcare and Rehab,139,29,0.20863309352517986,2
LaSalle,Liberty Village of Peru - Manor Court,138,13,0.09420289855072464,1
Cook,Generations at Regency,133,33,0.24812030075187969,2
Will,symphony of joliet,130,25,0.19230769230769232,1
Kane,Symphony of Orchard Valley,126,24,0.19047619047619047,2
Cook,Clark Manor,126,15,0.11904761904761904,2
Lee,Jack Mabley Developmental Center,125,1,0.008,2
Cook,Golfview Developmental Center,123,11,0.08943089430894309,1
Cook,Mosaic of Lakeshore,122,29,0.23770491803278687,1
Sangamon,Villa East,122,26,0.21311475409836064,1
Williamson,Shawnee Senior Living,121,18,0.1487603305785124,1
Cook,Uptown Health Center,120,18,0.15,1
Cook,Center Home for Hispanic Elderly,120,30,0.25,1
Cook,Ambassador Nursing,119,9,0.07563025210084033,2
DuPage,Forestview Rehabilitation & Nursing Center,118,18,0.15254237288135594,1
Cook,Grosse Pointe Manor,118,25,0.211864406779661,1
DuPage,West Suburban Nursing & Rehabilitation Center,118,17,0.1440677966101695,1
LaSalle,Heritage Health Mendota,116,24,0.20689655172413793,1
Marion,Odin Care Center,115,9,0.0782608695652174,1
Cook,ManorCare ElkGrove Village,114,25,0.21929824561403508,1
Rock Island,Centennial Care Center,113,16,0.1415929203539823,1
Cook,Carlton at the Lake,112,20,0.17857142857142858,2
Cook,Alden Town Manor Rehabilitation & Health Care Cent,111,20,0.18018018018018017,1
Madison,Stearns Nursing and Rehabilitation Center,111,20,0.18018018018018017,1
Lawrence,Aperion HealthCare,111,5,0.04504504504504504,1
Cook,Avanti Wellness & Rehabilitation ,110,17,0.15454545454545454,1
