County_x,FacilityName,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,facilities,county-facName,CMS_ProvNum,Week Ending,Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,County_y,Provider Zip Code,Submitted Data,Residents Weekly Admissions COVID-19,Residents Total Admissions COVID-19,Residents Weekly Confirmed COVID-19,Residents Total Confirmed COVID-19,Residents Weekly Suspected COVID-19,Residents Total Suspected COVID-19,Residents Weekly All Deaths,Residents Total All Deaths,Residents Weekly COVID-19 Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,Staff Weekly Confirmed COVID-19,Staff Total Confirmed COVID-19,Staff Weekly Suspected COVID-19,Staff Total Suspected COVID-19,Staff Weekly COVID-19 Deaths,Staff Total COVID-19 Deaths,Shortage of Nursing Staff,Shortage of Clinical Staff,Shortage of Aides,Shortage of Other Staff,"Weekly Resident Confirmed COVID-19 Cases Per 1,000 Residents","Weekly Resident COVID-19 Deaths Per 1,000 Residents","Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents",Total Residents COVID-19 Deaths as a Percentage of Confirmed COVID-19 Cases,Three or More Confirmed COVID-19 Cases This Week,Initial Confirmed COVID-19 Case This Week,Geolocation,Resident Access to Testing in Facility,Able to Test or Obtain Resources to Test All Current Residents Within Next 7 Days,During Past Two Weeks Average Time to Receive Resident Test Results,Has Facility Performed Resident Tests Since Last Report,Tested Residents with New Signs or Symptoms,Tested Asymptomatic Residents in a Unit or Section After a New Case,Tested Asymptomatic Residents Facility-Wide After a New Case,Tested Asymptomatic Residents Without Known Exposure as Surveillance,Tested Another Subgroup of Residents,Able to Test or Obtain Resources to Test All Staff and/or Personnel Within Next 7 Days,During Past Two Weeks Average Time to Receive Staff and/or Personnel Test Results,Has Facility Performed Staff and/or Personnel Tests Since Last Report,Tested Staff and/or Personnel with New Signs or Symptoms,Tested Asymptomatic Staff and/or Personnel in a Unit or Section After a New Case,Tested Asymptomatic Staff and/or Personnel Facility-Wide After a New Case,Tested Asymptomatic Staff and/or Personnel Without Known Exposure as Surveillance,Tested Another Subgroup of Staff and/or Personnel,In-House Point-of-Care Test Machine,COVID-19 Point-of-Care Tests Performed on Residents Since Last Report,COVID-19 Point-of-Care Tests Performed on Staff and/or Personnel Since Last Report,Enough Supplies to Test All Staff and/or Personnel Using Point-of-Care Test Machine,Any Current Supply of N95 Masks,One-Week Supply of N95 Masks,Any Current Supply of Surgical Masks,One-Week Supply of Surgical Masks,Any Current Supply of Eye Protection,One-Week Supply of Eye Protection,Any Current Supply of Gowns,One-Week Supply of Gowns,Any Current Supply of Gloves,One-Week Supply of Gloves,Any Current Supply of Hand Sanitizer,One-Week Supply of Hand Sanitizer,Ventilator Dependent Unit,Number of Ventilators in Facility,Number of Ventilators in Use for COVID-19,Any Current Supply of Ventilator Supplies,One-Week Supply of Ventilator Supplies,Geolocation
Adams,Adams Pointe Senior Living,2020-12-04,4,0,0.0,1,1,ADAMS-ADAMS POINTE SENIOR LIVING,No Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams,Bradford Villa,2020-12-04,8,1,0.125,1,1,ADAMS-BRADFORD VILLA,No Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams,Cedarhurst,2020-12-04,24,1,0.041666666666666664,1,1,ADAMS-CEDARHURST,No Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams,Chaddock,2020-12-04,3,0,0.0,1,1,ADAMS-CHADDOCK,No Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams,Golden Good Shepperd Home,2020-12-04,54,8,0.14814814814814814,1,1,ADAMS-GOLDEN GOOD SHEPPERD HOME,No Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams,Good Samaritan Home,2020-12-04,34,1,0.029411764705882353,1,1,ADAMS-GOOD SAMARITAN HOME,145773,2020-11-22,145773,GOOD SAMARITAN HOME,2130 HARRISON STREET,QUINCY,IL,Adams,62301.0,Y,0.0,0.0,6.0,9.0,0.0,9.0,1.0,22.0,0.0,0.0,213.0,165.0,12.0,47.0,0.0,30.0,0.0,0.0,Y,N,Y,Y,36.4,0.0,54.5,0.0,0.0,Y,N,POINT (-91.380324 39.913547),,Y,1-2 DAYS,Y,N,Y,N,N,N,Y,1-2 DAYS,Y,Y,Y,Y,N,N,Y,0.0,263.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,POINT (-91.380324 39.913547)
Adams,Illinois Veterans Home Quincy,2020-12-04,88,3,0.03409090909090909,1,1,ADAMS-ILLINOIS VETERANS HOME QUINCY,No Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams,Quincy Terrace,2020-12-04,15,1,0.06666666666666667,1,1,ADAMS-QUINCY TERRACE,No Match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams,St Vincents Nursing Home,2020-12-04,96,16,0.16666666666666666,1,1,ADAMS-ST VINCENTS NURSING HOME,145457,2020-11-22,145457,ST VINCENT'S HOME,1440 NORTH 10TH STREET,QUINCY,IL,Adams,62301.0,Y,4.0,20.0,0.0,61.0,0.0,17.0,3.0,37.0,3.0,13.0,90.0,56.0,1.0,31.0,0.0,16.0,0.0,0.0,Y,N,Y,N,0.0,53.6,1089.3,232.1,21.3,N,N,POINT (-91.400139 39.948897),,Y,1-2 DAYS,Y,N,N,N,Y,N,Y,1-2 DAYS,Y,N,N,N,Y,N,Y,0.0,0.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,POINT (-91.400139 39.948897)
Adams,Sunset Home,2020-12-04,11,0,0.0,1,1,ADAMS-SUNSET HOME,145800,2020-11-22,145800,SUNSET HOME,418 WASHINGTON STREET,QUINCY,IL,Adams,62301.0,Y,0.0,0.0,0.0,6.0,0.0,2.0,3.0,18.0,0.0,0.0,160.0,112.0,4.0,18.0,1.0,8.0,0.0,0.0,N,N,N,N,0.0,0.0,53.6,0.0,0.0,N,N,POINT (-91.409341 39.92265),,Y,1-2 DAYS,Y,N,N,Y,N,N,Y,<1 DAY,Y,N,N,Y,N,N,Y,0.0,278.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,POINT (-91.409341 39.92265)
