reporting_date,County,FacilityName,confirmed_cases,deaths,ReportDate,status,CFR,outbreaks
2020-11-27,Adams,Chaddock,3,0,2020-11-27T00:00:00,Closed,0.0,1
2020-11-27,Adams,Illinois Veterans Home Quincy,87,2,2020-11-27T00:00:00,Open,0.022988505747126436,1
2020-11-27,Adams,Good Samaritan Home,28,1,2020-11-27T00:00:00,Open,0.03571428571428571,1
2020-11-27,Adams,Adams Pointe Senior Living,4,0,2020-11-27T00:00:00,Closed,0.0,1
2020-11-27,Adams,Bradford Villa,8,1,2020-11-27T00:00:00,Closed,0.125,1
2020-11-27,Adams,Golden Good Shepperd Home,52,8,2020-11-27T00:00:00,Open,0.15384615384615385,1
2020-11-27,Adams,Sunset Home,11,0,2020-11-27T00:00:00,Open,0.0,1
2020-11-27,Adams,St Vincents Nursing Home,96,9,2020-11-27T00:00:00,Open,0.09375,1
2020-11-27,Adams,Cedarhurst,24,1,2020-11-27T00:00:00,Open,0.041666666666666664,1
2020-11-27,Adams,Timberpoint Health Care Center,21,1,2020-11-27T00:00:00,Open,0.047619047619047616,1
2020-11-27,Adams,Quincy Terrace,4,0,2020-11-27T00:00:00,Open,0.0,1
2020-11-27,Bond,Greenville Nursing & Rehab,21,1,2020-11-27T00:00:00,Open,0.047619047619047616,1
2020-11-27,Bond,Cedarhurst of Greenville,20,3,2020-11-27T00:00:00,Open,0.15,1
2020-11-27,Boone,Symphony Northwoods,89,16,2020-11-27T00:00:00,Closed,0.1797752808988764,1
2020-11-27,Boone,Park Place of Belvidere,6,0,2020-11-27T00:00:00,Closed,0.0,1
2020-11-27,Boone,Heritage of Woods,5,1,2020-11-27T00:00:00,Closed,0.2,1
2020-11-27,Boone,Maple Crest Care Center,48,0,2020-11-27T00:00:00,Open,0.0,1
2020-11-27,Boone,Park Place,75,1,2020-11-27T00:00:00,Open,0.013333333333333334,1
2020-11-27,Boone,Northwoods Care Center ,8,0,2020-11-27T00:00:00,Open,0.0,1
2020-11-27,Boone,Heritage Woods of Belvidere ,23,0,2020-11-27T00:00:00,Open,0.0,1
2020-11-27,Brown,Heritage Health,18,2,2020-11-27T00:00:00,Open,0.1111111111111111,1
2020-11-27,Bureau,St. Margarets Living Center,3,0,2020-11-27T00:00:00,Closed,0.0,1
2020-11-27,Bureau,Aperion Care- Princeton,89,2,2020-11-27T00:00:00,Open,0.02247191011235955,1
2020-11-27,Bureau,Heartland Heath care- Henry,2,0,2020-11-27T00:00:00,Open,0.0,1
2020-11-27,Bureau,Liberty Village of Princeton,20,4,2020-11-27T00:00:00,Open,0.2,1
2020-11-27,Bureau,Aperion Care Spring Valley,81,5,2020-11-27T00:00:00,Open,0.06172839506172839,1
2020-11-27,Bureau,Heritage Health,2,0,2020-11-27T00:00:00,Open,0.0,1
2020-11-27,Carroll,Big Meadows Nursing Home,99,9,2020-11-27T00:00:00,Open,0.09090909090909091,1
