reporting_date,County,FacilityName,confirmed_cases,deaths,status,CFR,outbreaks,county-facName,CMS_ProvNum,ReportDate
2020-05-29,Boone,Park Place of Belvidere,5,0,Open,0.0,1,BOONE-PARK PLACE OF BELVIDERE,146071,
2020-05-29,Boone,Symphony Northwoods,84,11,Open,0.13095238095238096,1,BOONE-SYMPHONY NORTHWOODS,No Match,
2020-05-29,Champaign,Reflections Memory Care,8,0,Open,0.0,1,CHAMPAIGN-REFLECTIONS MEMORY CARE,No Match,
2020-05-29,Champaign,University Rehab Center,5,0,Open,0.0,1,CHAMPAIGN-UNIVERSITY REHAB CENTER,145364,
2020-05-29,Christian,Villas of Holly Brook,2,0,Open,0.0,1,CHRISTIAN-VILLAS OF HOLLY BROOK,No Match,
2020-05-29,Clinton,Carlyle HealthCare Center,85,15,Open,0.17647058823529413,1,CLINTON-CARLYLE HEALTHCARE CENTER,145729,
2020-05-29,Clinton,Clinton Manor Living Facility,29,1,Open,0.034482758620689655,1,CLINTON-CLINTON MANOR LIVING FACILITY,146025,
2020-05-29,Clinton,Warrren G Murray Develpmental Center,59,0,Open,0.0,1,CLINTON-WARRREN G MURRAY DEVELPMENTAL CENTER,No Match,
2020-05-29,Coles,Charleston Rehab and Healthcare,76,13,Open,0.17105263157894737,1,COLES-CHARLESTON REHAB AND HEALTHCARE,145636,
2020-05-29,Coles,The Grove of Northbrook,5,0,Open,0.0,1,COLES-THE GROVE OF NORTHBROOK,No Match,
2020-05-29,Cook,Abington of Glenview,6,0,Open,0.0,1,COOK-ABINGTON OF GLENVIEW,145683,
2020-05-29,Cook,Addolorata Villa,86,10,Open,0.11627906976744186,1,COOK-ADDOLORATA VILLA,145724,
2020-05-29,Cook,Albany Care,12,0,Open,0.0,1,COOK-ALBANY CARE,No Match,
2020-05-29,Cook,Alben Lincoln Park Nursing Home,4,0,Open,0.0,1,COOK-ALBEN LINCOLN PARK NURSING HOME,No Match,
2020-05-29,Cook,Alden Estates Des Plaines,11,2,Open,0.18181818181818182,1,COOK-ALDEN ESTATES DES PLAINES,145998,
2020-05-29,Cook,Alden Estates of Barrington,3,0,Open,0.0,1,COOK-ALDEN ESTATES OF BARRINGTON,145557,
2020-05-29,Cook,Alden Estates of Evanston,4,1,Open,0.25,1,COOK-ALDEN ESTATES OF EVANSTON,145907,
2020-05-29,Cook,Alden Estates of Northmoor,75,13,Open,0.17333333333333334,1,COOK-ALDEN ESTATES OF NORTHMOOR,145888,
2020-05-29,Cook,Alden Estates of Orland Park,24,12,Open,0.5,1,COOK-ALDEN ESTATES OF ORLAND PARK,145963,
2020-05-29,Cook,Alden Estates of Skokie,5,0,Open,0.0,1,COOK-ALDEN ESTATES OF SKOKIE,145869,
2020-05-29,Cook,Alden Lakeland,13,1,Open,0.07692307692307693,1,COOK-ALDEN LAKELAND,145450,
2020-05-29,Cook,Alden Lincoln Park Rehab,68,8,Open,0.11764705882352941,1,COOK-ALDEN LINCOLN PARK REHAB,145126,
2020-05-29,Cook,Alden North Shore,3,1,Open,0.3333333333333333,1,COOK-ALDEN NORTH SHORE,145984,
2020-05-29,Cook,Alden PoplarCreek,10,0,Open,0.0,1,COOK-ALDEN POPLARCREEK,145403,
2020-05-29,Cook,Alden Princeton Rehab & Health,45,10,Open,0.2222222222222222,1,COOK-ALDEN PRINCETON REHAB & HEALTH,145688,
2020-05-29,Cook,Alden Town Manor Care,7,0,Open,0.0,1,COOK-ALDEN TOWN MANOR CARE,No Match,
2020-05-29,Cook,Alden Village North,6,0,Open,0.0,1,COOK-ALDEN VILLAGE NORTH,No Match,
2020-05-29,Cook,Alden Wentworth  Rehab & Healthcare Center,58,10,Open,0.1724137931034483,1,COOK-ALDEN WENTWORTH  REHAB & HEALTHCARE CENTER,No Match,
2020-05-29,Cook,All American Nursing Home,31,2,Open,0.06451612903225806,1,COOK-ALL AMERICAN NURSING HOME,14A057,
2020-05-29,Cook,Ambassador Nursing,101,10,Open,0.09900990099009901,1,COOK-AMBASSADOR NURSING,145343,
