STATE_ReportingDate,CMS_Provider State,STATE_County,CMS_Provider City,STATE_FacilityName,STATE_CMS_ProvNum,STATE_confirmed_cases,STATE_deaths,STATE_MatchingDate,CMS_Week Ending,CMS_Federal Provider Number
2020-06-05,IL,Boone,BELVIDERE,Park Place of Belvidere,146071,5,0,2020-06-07,2020-06-07,146071
2020-06-05,,Boone,,Symphony Northwoods,No Match,87,13,2020-06-07,,
2020-06-05,,Champaign,,Reflections Memory Care,No Match,8,0,2020-06-07,,
2020-06-05,IL,Champaign,URBANA,University Rehab Center,145364,5,0,2020-06-07,2020-06-07,145364
2020-06-05,,Christian,,Villas of Holly Brook,No Match,2,0,2020-06-07,,
2020-06-05,IL,Clinton,CARLYLE,Carlyle HealthCare Center,145729,85,15,2020-06-07,2020-06-07,145729
2020-06-05,IL,Clinton,NEW BADEN,Clinton Manor Living Facility,146025,29,1,2020-06-07,2020-06-07,146025
2020-06-05,,Clinton,,Warrren G Murray Develpmental Center,No Match,59,0,2020-06-07,,
2020-06-05,IL,Coles,CHARLESTON,Charleston Rehab and Healthcare,145636,84,15,2020-06-07,2020-06-07,145636
2020-06-05,IL,Coles,MATTOON,Mattoon Healthcare,145480,2,0,2020-06-07,2020-06-07,145480
2020-06-05,,Coles,,The Grove of Northbrook,No Match,6,0,2020-06-07,,
2020-06-05,,Cook,,AMITA Health Holy Family Medical Center ,No Match,19,0,2020-06-07,,
2020-06-05,IL,Cook,GLENVIEW,Abington of Glenview,145683,6,0,2020-06-07,2020-06-07,145683
2020-06-05,IL,Cook,WHEELING,Addolorata Villa,145724,90,13,2020-06-07,2020-06-07,145724
2020-06-05,,Cook,,Albany Care,No Match,12,0,2020-06-07,,
2020-06-05,,Cook,,Alben Lincoln Park Nursing Home,No Match,4,0,2020-06-07,,
2020-06-05,IL,Cook,DES PLAINES,Alden Estates Des Plaines,145998,12,2,2020-06-07,2020-06-07,145998
2020-06-05,IL,Cook,BARRINGTON,Alden Estates of Barrington,145557,3,0,2020-06-07,2020-06-07,145557
2020-06-05,IL,Cook,EVANSTON,Alden Estates of Evanston,145907,5,1,2020-06-07,2020-06-07,145907
2020-06-05,IL,Cook,CHICAGO,Alden Estates of Northmoor,145888,79,17,2020-06-07,2020-06-07,145888
2020-06-05,IL,Cook,ORLAND PARK,Alden Estates of Orland Park,145963,24,12,2020-06-07,2020-06-07,145963
2020-06-05,IL,Cook,SKOKIE,Alden Estates of Skokie,145869,5,0,2020-06-07,2020-06-07,145869
2020-06-05,IL,Cook,CHICAGO,Alden Lakeland,145450,15,1,2020-06-07,2020-06-07,145450
2020-06-05,IL,Cook,CHICAGO,Alden Lincoln Park Rehab,145126,69,9,2020-06-07,2020-06-07,145126
2020-06-05,IL,Cook,SKOKIE,Alden North Shore,145984,3,1,2020-06-07,2020-06-07,145984
2020-06-05,IL,Cook,HOFFMAN ESTATES,Alden PoplarCreek,145403,16,3,2020-06-07,2020-06-07,145403
2020-06-05,IL,Cook,CHICAGO,Alden Princeton Rehab & Health,145688,48,10,2020-06-07,2020-06-07,145688
2020-06-05,,Cook,,Alden Town Manor Care,No Match,7,0,2020-06-07,,
2020-06-05,,Cook,,Alden Village North,No Match,6,0,2020-06-07,,
2020-06-05,,Cook,,Alden Wentworth  Rehab & Healthcare Center,No Match,60,12,2020-06-07,,
2020-06-05,IL,Cook,CHICAGO,All American Nursing Home,14A057,33,4,2020-06-07,2020-06-07,14A057
2020-06-05,,Cook,,All Saints,No Match,2,0,2020-06-07,,
2020-06-05,IL,Cook,CHICAGO,Ambassador Nursing,145343,101,11,2020-06-07,2020-06-07,145343
2020-06-05,IL,Cook,BURBANK,Aperion Care Burbank,145913,5,1,2020-06-07,2020-06-07,145913
2020-06-05,IL,Cook,CHICAGO HEIGHTS,Aperion Care Chicago Heights,145180,8,1,2020-06-07,2020-06-07,145180
2020-06-05,IL,Cook,DOLTON,Aperion Care Dolton,145877,28,5,2020-06-07,2020-06-07,145877
2020-06-05,IL,Cook,EVANSTON,Aperion Care Evanston,146058,19,1,2020-06-07,2020-06-07,146058
2020-06-05,IL,Cook,FOREST PARK,Aperion Care Forest Park,145969,21,1,2020-06-07,2020-06-07,145969
2020-06-05,IL,Cook,CHICAGO,Aperion Care International of Chicago,146001,104,15,2020-06-07,2020-06-07,146001
2020-06-05,IL,Cook,MIDLOTHIAN,Aperion Care Midlothian,145947,3,0,2020-06-07,2020-06-07,145947
2020-06-05,IL,Cook,OAK LAWN,Aperion Care Oak Lawn,145197,82,18,2020-06-07,2020-06-07,145197
2020-06-05,IL,Cook,PALATINE,Aperion Care Plum Grove,145658,41,3,2020-06-07,2020-06-07,145658
2020-06-05,IL,Cook,CHICAGO,Aperion Care West Ridge,145832,32,11,2020-06-07,2020-06-07,145832
2020-06-05,IL,Cook,CHICAGO,Arbour Health Care Center,146169,48,3,2020-06-07,2020-06-07,146169
2020-06-05,,Cook,,Arden Courts of Elk Grove,No Match,20,3,2020-06-07,,
2020-06-05,,Cook,,Arden Courts of Palos Heights,No Match,37,9,2020-06-07,,
2020-06-05,,Cook,,Arden Courts of South Holland ,No Match,26,2,2020-06-07,,
2020-06-05,,Cook,,Artis Senior Living of Lakeview,No Match,34,8,2020-06-07,,
2020-06-05,IL,Cook,DES PLAINES,Asbury Court Senior Living,146187,4,0,2020-06-07,2020-06-07,146187
2020-06-05,,Cook,,Aspire Living Prospect Heights,No Match,7,0,2020-06-07,,
2020-06-05,IL,Cook,CHICAGO,Astoria Place of Chicago,145634,104,20,2020-06-07,2020-06-07,145634
2020-06-05,,Cook,,Atria Glenview,No Match,2,0,2020-06-07,,
2020-06-05,IL,Cook,CHICAGO,Atrium Health Care Center,145479,97,10,2020-06-07,2020-06-07,145479
2020-06-05,IL,Cook,CHICAGO,Austin Oasis,145834,85,6,2020-06-07,2020-06-07,145834
2020-06-05,,Cook,,Autumn Green at Wright Campus,No Match,2,0,2020-06-07,,
2020-06-05,IL,Cook,EVERGREEN PARK,Avantara Evergreen Park,145734,75,17,2020-06-07,2020-06-07,145734
2020-06-05,IL,Cook,PARK RIDGE,Avantara Park Ridge,145667,3,1,2020-06-07,2020-06-07,145667
2020-06-05,,Cook,,Avanti Wellness & Rehabilitation ,No Match,78,15,2020-06-07,,
2020-06-05,,Cook,,Avenues to Independence,No Match,11,0,2020-06-07,,
2020-06-05,IL,Cook,SOUTH CHICAGO HEIGHT,BRIA of Chicago Heights,145898,50,1,2020-06-07,2020-06-07,145898
2020-06-05,IL,Cook,CHICAGO,Balmoral Home,145796,19,0,2020-06-07,2020-06-07,145796
