County,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,Closed_Outbreaks,Open_Outbreaks,facilities
Cook,2021-01-01,21427,3011,0.14052363840014934,519,261,258,389
DuPage,2021-01-01,4652,583,0.12532244196044712,149,71,78,100
Lake,2021-01-01,3594,464,0.12910406232609906,121,60,61,96
Will,2021-01-01,2832,297,0.1048728813559322,76,44,32,46
Kane,2021-01-01,2604,292,0.11213517665130568,92,57,35,67
Madison,2021-01-01,1915,233,0.1216710182767624,59,27,32,44
St. Clair,2021-01-01,1662,171,0.10288808664259928,52,13,39,49
Winnebago,2021-01-01,1635,185,0.11314984709480122,54,27,27,47
Sangamon,2021-01-01,1166,110,0.09433962264150944,30,17,13,27
Rock Island,2021-01-01,1155,151,0.13073593073593073,28,11,17,22
Kankakee,2021-01-01,1141,69,0.060473269062226116,23,11,12,18
Peoria,2021-01-01,1105,111,0.10045248868778281,30,15,15,26
McHenry,2021-01-01,950,131,0.13789473684210526,34,18,16,28
LaSalle,2021-01-01,937,157,0.16755602988260407,20,9,11,15
Tazewell,2021-01-01,892,106,0.11883408071748879,34,14,20,31
Clinton,2021-01-01,657,53,0.0806697108066971,17,8,9,15
McLean,2021-01-01,626,66,0.10543130990415335,21,8,13,18
Adams,2021-01-01,598,47,0.07859531772575251,13,4,9,12
Macon,2021-01-01,572,63,0.11013986013986014,15,6,9,11
Marion,2021-01-01,569,51,0.08963093145869948,11,1,10,10
Knox,2021-01-01,548,87,0.15875912408759124,14,1,13,13
Coles,2021-01-01,546,60,0.10989010989010989,19,8,11,18
Whiteside,2021-01-01,534,83,0.15543071161048688,14,3,11,14
DeKalb,2021-01-01,523,42,0.08030592734225621,15,7,8,14
Champaign,2021-01-01,479,42,0.08768267223382047,30,19,11,24
Williamson,2021-01-01,389,55,0.14138817480719795,14,4,10,13
Morgan,2021-01-01,366,55,0.15027322404371585,10,5,5,9
Jefferson,2021-01-01,338,49,0.14497041420118342,9,4,5,8
Monroe,2021-01-01,328,42,0.12804878048780488,7,2,5,7
Bureau,2021-01-01,309,35,0.11326860841423948,7,1,6,7
Boone,2021-01-01,307,44,0.14332247557003258,7,3,4,7
Ford,2021-01-01,293,33,0.11262798634812286,10,6,4,8
Randolph,2021-01-01,292,20,0.0684931506849315,12,5,7,9
Vermilion,2021-01-01,280,33,0.11785714285714285,12,1,11,10
Iroquois,2021-01-01,275,28,0.10181818181818182,9,3,6,9
Macoupin,2021-01-01,270,51,0.18888888888888888,17,6,11,13
Lee,2021-01-01,269,37,0.137546468401487,6,2,4,5
Woodford,2021-01-01,237,28,0.11814345991561181,8,1,7,7
Jackson,2021-01-01,236,31,0.13135593220338984,9,2,7,7
Franklin,2021-01-01,235,24,0.10212765957446808,7,1,6,7
