reporting_date,County,FacilityName,confirmed_cases,deaths,ReportDate,status,CFR,outbreaks,county-facName,CMS_ProvNum
2021-01-01,Adams,Chaddock,11,0,2021-01-01T00:00:00,Open,0.0,1,ADAMS-CHADDOCK,No Match
2021-01-01,Adams,Illinois Veterans Home Quincy,239,6,2021-01-01T00:00:00,Open,0.02510460251046025,1,ADAMS-ILLINOIS VETERANS HOME QUINCY,No Match
2021-01-01,Adams,Good Samaritan Home,44,1,2021-01-01T00:00:00,Open,0.022727272727272728,1,ADAMS-GOOD SAMARITAN HOME,145773
2021-01-01,Adams,Adams Pointe Senior Living,4,0,2021-01-01T00:00:00,Closed,0.0,1,ADAMS-ADAMS POINTE SENIOR LIVING,No Match
2021-01-01,Adams,Bradford Villa,8,1,2021-01-01T00:00:00,Closed,0.125,1,ADAMS-BRADFORD VILLA,No Match
2021-01-01,Adams,Golden Good Shepperd Home,54,9,2021-01-01T00:00:00,Closed,0.16666666666666666,1,ADAMS-GOLDEN GOOD SHEPPERD HOME,No Match
2021-01-01,Adams,Sunset Home,45,3,2021-01-01T00:00:00,Open,0.06666666666666667,1,ADAMS-SUNSET HOME,145800
2021-01-01,Adams,St Vincents Nursing Home,101,17,2021-01-01T00:00:00,Open,0.16831683168316833,1,ADAMS-ST VINCENTS NURSING HOME,145457
2021-01-01,Adams,Cedarhurst,26,1,2021-01-01T00:00:00,Closed,0.038461538461538464,1,ADAMS-CEDARHURST,No Match
2021-01-01,Adams,Timberpoint Health Care Center,34,8,2021-01-01T00:00:00,Open,0.23529411764705882,1,ADAMS-TIMBERPOINT HEALTH CARE CENTER,No Match
2021-01-01,Adams,Quincy Terrace,16,1,2021-01-01T00:00:00,Open,0.0625,1,ADAMS-QUINCY TERRACE,No Match
2021-01-01,Adams,Bickford Cottage (2),4,0,2021-01-01T00:00:00,Open,0.0,1,ADAMS-BICKFORD COTTAGE (2),No Match
2021-01-01,Adams,Bradford Villa (2),12,0,2021-01-01T00:00:00,Open,0.0,1,ADAMS-BRADFORD VILLA (2),No Match
2021-01-01,Bond,Greenville Nursing & Rehab,58,3,2021-01-01T00:00:00,Closed,0.05172413793103448,1,BOND-GREENVILLE NURSING & REHAB,145909
2021-01-01,Bond,Cedarhurst of Greenville,18,3,2021-01-01T00:00:00,Closed,0.16666666666666666,1,BOND-CEDARHURST OF GREENVILLE,No Match
