County,FacilityName2,CMS_ProvNum,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,Closed_Outbreaks,Open_Outbreaks,facilities
Cook,Brandel Care Center,145527,2021-01-29,565,15,0.02654867256637168,2,1,1,1
Kankakee,Samuel H. Shapiro Developmental Center,No Match,2021-01-29,492,2,0.0040650406504065045,2,1,1,1
Cook,Ludeman Developmental Center,No Match,2021-01-29,263,9,0.034220532319391636,1,1,0,1
Will,Meadowbrook Manor of Bolingbrook,No Match,2021-01-29,252,43,0.17063492063492064,2,1,1,1
Cook,City View Multi Care Center,145850,2021-01-29,249,15,0.060240963855421686,1,1,0,1
Cook,Niles Nursing and Rehab Center,145696,2021-01-29,243,54,0.2222222222222222,2,1,1,1
Cook,Peterson Park Health Care,145838,2021-01-29,243,36,0.14814814814814814,2,1,1,1
Adams,Illinois Veterans Home Quincy,No Match,2021-01-29,239,23,0.09623430962343096,1,0,1,1
Cook,Woodbridge Nursing Pavilion,145792,2021-01-29,234,40,0.17094017094017094,2,1,1,1
Cook,Symphony of South Shore,145977,2021-01-29,230,35,0.15217391304347827,2,0,2,1
Lake,Avantara Long Grove,145868,2021-01-29,228,32,0.14035087719298245,1,1,0,1
Cook,Symphony at Midway,145995,2021-01-29,225,27,0.12,3,2,1,1
Rock Island,Hope Creek,145269,2021-01-29,223,26,0.11659192825112108,1,1,0,1
LaSalle,Illinois Veterans Home - LaSalle,No Match,2021-01-29,219,36,0.1643835616438356,2,1,1,1
Cook,Symphony of Lincoln Park,145510,2021-01-29,219,32,0.1461187214611872,2,1,1,1
DuPage,Manorcare Hinsdale,145246,2021-01-29,215,41,0.19069767441860466,2,1,1,1
Will,Sunny Hill Nursing Home,145892,2021-01-29,214,31,0.14485981308411214,2,1,1,1
Cook,Symphony of Morgan Park,145764,2021-01-29,213,26,0.12206572769953052,2,0,2,1
Cook,Aperion Care International of Chicago,146001,2021-01-29,213,31,0.14553990610328638,1,0,1,1
Cook,Bria River Oaks,145735,2021-01-29,211,3,0.014218009478672985,1,1,0,1
