ReportingDate,State,County,City,FacilityName,TYPE,CTP Facility Categorization,State/Fed Regulated,State Facility ID,CMS Facility ID,Date outbreak opened,Date outreak closed,Outbreak Status,Resident Census,TOTAL RESIDENT CASES,TOTAL Resident Probable Positives,TOTAL RESIDENT DEATHS,TOTAL Resident Probable Deaths,TOTAL STAFF CASES,TOTAL Staff Probable Positives,TOTAL STAFF DEATHS,TOTAL Staff Probable Deaths,confirmed_cases,TOTAL Resident/Staff Probable Positives,deaths,TOTAL Resident/Staff Probable Deaths,NEW RESIDENT CASES,NEW Resident Probable Positives,NEW RESIDENT DEATHS,NEW Resident Probable Deaths,NEW STAFF CASES,NEW Staff Probable Positives,NEW STAFF DEATHS,NEW Staff Probable Deaths,NEW Resident/Staff Positives,NEW Resident/Staff Probable Positives,NEW Resident/Staff Deaths,NEW Resident/Staff Probable Deaths,Residents Tested,Staff Tested,Personal Protective Equipment,COMPLIANCE
20210212,IL,Adams,,Adams Pointe Senior Living,,,,,,,,Closed,,,,,,,,,,4,,0,,,,,,,,,,,,,,,,,
20210212,IL,Adams,,Bickford Cottage,,,,,,,,Open,,,,,,,,,,9,,0,,,,,,,,,,,,,,,,,
20210212,IL,Adams,,Blessing Hospital SNU,,,,,,,,Open,,,,,,,,,,6,,3,,,,,,,,,,,,,,,,,
20210212,IL,Adams,,Bradford Villa,,,,,,,,Open,,,,,,,,,,21,,3,,,,,,,,,,,,,,,,,
20210212,IL,Adams,,Cedarhurst,,,,,,,,Closed,,,,,,,,,,26,,1,,,,,,,,,,,,,,,,,
20210212,IL,Adams,,Chaddock,,,,,,,,Closed,,,,,,,,,,23,,0,,,,,,,,,,,,,,,,,
20210212,IL,Adams,,Curtis Creek,,,,,,,,Open,,,,,,,,,,6,,0,,,,,,,,,,,,,,,,,
20210212,IL,Adams,,Golden Good Shepperd Home,,,,,,,,Closed,,,,,,,,,,54,,9,,,,,,,,,,,,,,,,,
20210212,IL,Adams,,Good Samaritan Home,,,,,,,,Open,,,,,,,,,,75,,6,,,,,,,,,,,,,,,,,
20210212,IL,Adams,,Illinois Veterans Home Quincy,,,,,,,,Open,,,,,,,,,,239,,24,,,,,,,,,,,,,,,,,
20210212,IL,Adams,,Quincy Terrace,,,,,,,,Open,,,,,,,,,,16,,1,,,,,,,,,,,,,,,,,
20210212,IL,Adams,,Senior Center,,,,,,,,Open,,,,,,,,,,12,,1,,,,,,,,,,,,,,,,,
20210212,IL,Adams,,St Vincents Nursing Home,,,,,,,,Open,,,,,,,,,,101,,17,,,,,,,,,,,,,,,,,
20210212,IL,Adams,,Sunset Home,,,,,,,,Open,,,,,,,,,,65,,13,,,,,,,,,,,,,,,,,
20210212,IL,Adams,,Timberpoint Health Care Center,,,,,,,,Open,,,,,,,,,,35,,9,,,,,,,,,,,,,,,,,
20210212,IL,Bond,,Cedarhurst of Greenville,,,,,,,,Open,,,,,,,,,,22,,3,,,,,,,,,,,,,,,,,
20210212,IL,Bond,,Fayco - Elm St Greenville,,,,,,,,Open,,,,,,,,,,8,,0,,,,,,,,,,,,,,,,,
20210212,IL,Bond,,Greenville Nursing & Rehab,,,,,,,,Open,,,,,,,,,,58,,10,,,,,,,,,,,,,,,,,
20210212,IL,Bond,,The Glenwood,,,,,,,,Open,,,,,,,,,,11,,2,,,,,,,,,,,,,,,,,
20210212,IL,Boone,,Heritage Woods of Belvidere,,,,,,,,Open,,,,,,,,,,33,,4,,,,,,,,,,,,,,,,,
20210212,IL,Boone,,Heritage of Woods,,,,,,,,Closed,,,,,,,,,,5,,1,,,,,,,,,,,,,,,,,
20210212,IL,Boone,,Maple Crest Care Center,,,,,,,,Open,,,,,,,,,,100,,23,,,,,,,,,,,,,,,,,
20210212,IL,Boone,,Northwoods Care Center,,,,,,,,Open,,,,,,,,,,8,,2,,,,,,,,,,,,,,,,,
20210212,IL,Boone,,Park Place,,,,,,,,Open,,,,,,,,,,83,,3,,,,,,,,,,,,,,,,,
20210212,IL,Boone,,Park Place of Belvidere,,,,,,,,Closed,,,,,,,,,,6,,0,,,,,,,,,,,,,,,,,
20210212,IL,Boone,,Symphony Northwoods,,,,,,,,Closed,,,,,,,,,,89,,16,,,,,,,,,,,,,,,,,
20210212,IL,Brown,,Heritage Health,,,,,,,,Closed,,,,,,,,,,66,,0,,,,,,,,,,,,,,,,,
20210212,IL,Bureau,,Aperion Care Spring Valley,,,,,,,,Open,,,,,,,,,,130,,15,,,,,,,,,,,,,,,,,
20210212,IL,Bureau,,Aperion Care- Princeton,,,,,,,,Open,,,,,,,,,,110,,9,,,,,,,,,,,,,,,,,
20210212,IL,Bureau,,Heartland Heath care- Henry,,,,,,,,Closed,,,,,,,,,,5,,2,,,,,,,,,,,,,,,,,
20210212,IL,Bureau,,Heritage Health Care Walnut,,,,,,,,Open,,,,,,,,,,41,,10,,,,,,,,,,,,,,,,,
20210212,IL,Bureau,,Liberty Village of Princeton,,,,,,,,Closed,,,,,,,,,,92,,14,,,,,,,,,,,,,,,,,
20210212,IL,Bureau,,St. Margarets Living Center,,,,,,,,Closed,,,,,,,,,,3,,0,,,,,,,,,,,,,,,,,
20210212,IL,Calhoun,,Calhoun Nursing and Rehabilitation,,,,,,,,Closed,,,,,,,,,,2,,0,,,,,,,,,,,,,,,,,
20210212,IL,Carroll,,Allure of Mount Carroll,,,,,,,,Closed,,,,,,,,,,48,,9,,,,,,,,,,,,,,,,,
20210212,IL,Carroll,,Big Meadows Nursing Home,,,,,,,,Closed,,,,,,,,,,107,,9,,,,,,,,,,,,,,,,,
20210212,IL,Carroll,,Pinnacle Place,,,,,,,,Open,,,,,,,,,,7,,0,,,,,,,,,,,,,,,,,
20210212,IL,Cass,,Evergreen Place,,,,,,,,Open,,,,,,,,,,6,,0,,,,,,,,,,,,,,,,,
20210212,IL,Cass,,Evergreen Place Supportive Living,,,,,,,,Closed,,,,,,,,,,3,,0,,,,,,,,,,,,,,,,,
20210212,IL,Cass,,Heritage Health,,,,,,,,Closed,,,,,,,,,,38,,10,,,,,,,,,,,,,,,,,
20210212,IL,Cass,,Walker Nursing Home,,,,,,,,Closed,,,,,,,,,,57,,11,,,,,,,,,,,,,,,,,
20210212,IL,Champaign,,Amber Glen Alzheimers Special Care Center,,,,,,,,Open,,,,,,,,,,45,,4,,,,,,,,,,,,,,,,,
20210212,IL,Champaign,,Arbor Rose of Tolono,,,,,,,,Closed,,,,,,,,,,23,,2,,,,,,,,,,,,,,,,,
20210212,IL,Champaign,,Autumn Fields-Savoy,,,,,,,,Closed,,,,,,,,,,8,,1,,,,,,,,,,,,,,,,,
20210212,IL,Champaign,,Bickford Senior Living,,,,,,,,Closed,,,,,,,,,,12,,3,,,,,,,,,,,,,,,,,
20210212,IL,Champaign,,Brookdale Urbana,,,,,,,,Open,,,,,,,,,,27,,4,,,,,,,,,,,,,,,,,
20210212,IL,Champaign,,Brookstone Estates Senior Living,,,,,,,,Closed,,,,,,,,,,9,,2,,,,,,,,,,,,,,,,,
20210212,IL,Champaign,,Carriage Crossing Senior Living of Champaign,,,,,,,,Open,,,,,,,,,,17,,2,,,,,,,,,,,,,,,,,
20210212,IL,Champaign,,Champaign Urbana Nursing and Rehab,,,,,,,,Open,,,,,,,,,,137,,11,,,,,,,,,,,,,,,,,
20210212,IL,Champaign,,Champaign-Urbana Nursing and Rehab,,,,,,,,Closed,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,
20210212,IL,Champaign,,Country Health & Rehab,,,,,,,,Open,,,,,,,,,,42,,6,,,,,,,,,,,,,,,,,
20210212,IL,Champaign,,Country Health and Rehab,,,,,,,,Closed,,,,,,,,,,9,,0,,,,,,,,,,,,,,,,,
