,Week Ending,Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Submitted Data,Passed Quality Assurance Check,Residents Weekly Admissions COVID-19,Residents Total Admissions COVID-19,Residents Weekly Confirmed COVID-19,Residents Total Confirmed COVID-19,Residents Weekly Suspected COVID-19,Residents Total Suspected COVID-19,Residents Weekly All Deaths,Residents Total All Deaths,Residents Weekly COVID-19 Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,Resident Access to Testing in Facility,Laboratory Type Is State Health Dept,Laboratory Type Is Private Lab,Laboratory Type Is Other,Able to Test or Obtain Resources to Test All Current Residents Within Next 7 Days,Reason for Not Testing Residents - Lack of PPE for Personnel ,Reason for Not Testing Residents - Lack of Supplies,Reason for Not Testing Residents  - Lack of Access to Laboratory,Reason for Not Testing Residents - Lack of Access to Trained Personnel ,Reason for Not Testing Residents  - Uncertainty About Reimbursement,Reason for Not Testing Residents  - Other,During Past Two Weeks Average Time to Receive Resident Test Results,Has Facility Performed Resident Tests Since Last Report,Tested Residents with New Signs or Symptoms,Tested Asymptomatic Residents in a Unit or Section After a New Case,Tested Asymptomatic Residents Facility-Wide After a New Case,Tested Asymptomatic Residents Without Known Exposure as Surveillance,Tested Another Subgroup of Residents,Able to Test or Obtain Resources to Test All Staff and/or Personnel Within Next 7 Days,Reason for Not Testing Staff and/or Personnel - Lack of PPE for Personnel ,Reason for Not Testing Staff and/or Personnel - Lack of Supplies,Reason for Not Testing Staff and/or Personnel - Lack of Access to Laboratory,Reason for Not Testing Staff and/or Personnel  - Lack of Access to Trained Personnel ,Reason for Not Testing Staff and/or Personnel - Uncertainty About Reimbursement,Reason for Not Testing Staff and/or Personnel - Other,During Past Two Weeks Average Time to Receive Staff and/or Personnel Test Results,Has Facility Performed Staff and/or Personnel Tests Since Last Report,Tested Staff and/or Personnel with New Signs or Symptoms,Tested Asymptomatic Staff and/or Personnel in a Unit or Section After a New Case,Tested Asymptomatic Staff and/or Personnel Facility-Wide After a New Case,Tested Asymptomatic Staff and/or Personnel Without Known Exposure as Surveillance,Tested Another Subgroup of Staff and/or Personnel,In-House Point-of-Care Test Machine,COVID-19 Point-of-Care Tests Performed on Residents Since Last Report,COVID-19 Point-of-Care Tests Performed on Staff and/or Personnel Since Last Report,Enough Supplies to Test All Staff and/or Personnel Using Point-of-Care Test Machine,Staff Weekly Confirmed COVID-19,Staff Total Confirmed COVID-19,Staff Weekly Suspected COVID-19,Staff Total Suspected COVID-19,Staff Weekly COVID-19 Deaths,Staff Total COVID-19 Deaths,Shortage of Nursing Staff,Shortage of Clinical Staff,Shortage of Aides,Shortage of Other Staff,Any Current Supply of N95 Masks,One-Week Supply of N95 Masks,Any Current Supply of Surgical Masks,One-Week Supply of Surgical Masks,Any Current Supply of Eye Protection,One-Week Supply of Eye Protection,Any Current Supply of Gowns,One-Week Supply of Gowns,Any Current Supply of Gloves,One-Week Supply of Gloves,Any Current Supply of Hand Sanitizer,One-Week Supply of Hand Sanitizer,Ventilator Dependent Unit,Number of Ventilators in Facility,Number of Ventilators in Use for COVID-19,Any Current Supply of Ventilator Supplies,One-Week Supply of Ventilator Supplies,"Weekly Resident Confirmed COVID-19 Cases Per 1,000 Residents","Weekly Resident COVID-19 Deaths Per 1,000 Residents","Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents",Total Residents COVID-19 Deaths as a Percentage of Confirmed COVID-19 Cases,County,Three or More Confirmed COVID-19 Cases This Week,Initial Confirmed COVID-19 Case This Week,Geolocation,Reporting Interval
78071,2020-12-13,145173,HEATHER HEALTH CARE CENTER,15600 SOUTH HONORE STREET,HARVEY,IL,60426,Y,Y,2.0,10.0,2.0,35.0,,3.0,0.0,6.0,0.0,5.0,173.0,129.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,0.0,,0.0,33.0,0.0,4.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,15.5,0.0,271.3,38.8,14.3,Cook,N,N,,Week 30 - Dec 13
85528,2020-12-13,145111,ELMHURST EXTENDED CARE CENTER,200 EAST LAKE STREET,ELMHURST,IL,60126,Y,Y,0.0,1.0,0.0,1.0,,0.0,0.0,11.0,0.0,0.0,108.0,34.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,2.0,0.0,,0.0,13.0,0.0,2.0,0.0,0.0,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,29.4,0.0,0.0,DuPage,N,N,POINT (-87.93503000000001 41.911015),Week 30 - Dec 13
85562,2020-12-13,145608,SOUTH HOLLAND MANOR HTH & RHB,2145 EAST 170TH STREET,SOUTH HOLLAND,IL,60473,Y,Y,0.0,36.0,0.0,23.0,,30.0,0.0,60.0,0.0,14.0,216.0,106.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,188.0,242.0,,1.0,38.0,0.0,7.0,0.0,0.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,0.0,0.0,217.0,132.1,60.9,Cook,N,N,POINT (-87.564819 41.586453),Week 30 - Dec 13
85577,2020-12-13,145243,ACCOLADE HEALTHCARE DANVILLE,801 NORTH LOGAN AVENUE,DANVILLE,IL,61832,Y,Y,2.0,2.0,1.0,37.0,,7.0,1.0,11.0,0.0,7.0,97.0,59.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,58.0,2.0,,2.0,50.0,0.0,33.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,16.9,0.0,627.1,118.6,18.9,Vermilion,N,N,POINT (-87.644911 40.137482),Week 30 - Dec 13
85639,2020-12-13,145556,WINNING WHEELS,701 EAST 3RD STREET,PROPHETSTOWN,IL,61277,Y,Y,0.0,0.0,0.0,67.0,,3.0,0.0,4.0,0.0,4.0,88.0,72.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,111.0,,0.0,33.0,0.0,8.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,930.6,55.6,6.0,Whiteside,N,N,POINT (-89.922898 41.670792),Week 30 - Dec 13
85653,2020-12-13,145027,HEARTLAND OF MOLINE,833 SIXTEENTH AVENUE,MOLINE,IL,61265,Y,Y,0.0,2.0,0.0,81.0,,8.0,2.0,55.0,2.0,16.0,149.0,70.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,34.0,159.0,,1.0,53.0,0.0,3.0,0.0,0.0,N,N,N,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,,,,,0.0,28.6,1157.1,228.6,19.8,Rock Island,N,N,POINT (-90.525606 41.496831),Week 30 - Dec 13
85756,2020-12-13,145304,ELEVATE CARE RIVERWOODS,3705 DEERFIELD ROAD,RIVERWOODS,IL,60015,Y,Y,5.0,71.0,0.0,24.0,,16.0,0.0,9.0,0.0,5.0,240.0,144.0,,,,,Y,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,131.0,258.0,,1.0,23.0,0.0,54.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,166.7,34.7,20.8,Lake,N,N,POINT (-87.918974 42.16771),Week 30 - Dec 13
85786,2020-12-13,145239,CORNERSTONE REHAB & HC,5533 NORTH GALENA ROAD,PEORIA HEIGHTS,IL,61614,Y,Y,1.0,1.0,3.0,9.0,,6.0,0.0,14.0,0.0,0.0,98.0,45.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,72.0,,1.0,5.0,0.0,1.0,0.0,0.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,,,,,66.7,0.0,200.0,0.0,0.0,Peoria,Y,N,POINT (-89.561811 40.753521),Week 30 - Dec 13
85788,2020-12-13,145211,BURBANK REHABILITATION CENTER,5400 WEST 87TH STREET,BURBANK,IL,60459,N,,0.0,15.0,0.0,25.0,,98.0,0.0,60.0,0.0,8.0,163.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,23.0,0.0,9.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,337.8,108.1,32.0,Cook,,,POINT (-87.755774 41.734326),Week 30 - Dec 13
85855,2020-12-13,145312,SYMPHONY NORTHWOODS,2250 PEARL STREET,BELVIDERE,IL,61008,Y,Y,1.0,53.0,0.0,41.0,,33.0,0.0,30.0,0.0,16.0,113.0,83.0,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,0.0,8.0,,0.0,38.0,0.0,28.0,0.0,0.0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,494.0,192.8,39.0,Boone,N,N,POINT (-88.841731 42.236451),Week 30 - Dec 13
