State_County,State_FacilityName,State_CMS_ProvNum,State_ReportingDate,State_confirmed_cases,State_deaths,State_CFR,State_outbreaks,State_Closed_Outbreaks,State_Open_Outbreaks,State_facilities,CMS_Week Ending,CMS_Federal Provider Number,CMS_Provider Name,CMS_Provider Address,CMS_Provider City,CMS_Provider State,CMS_Provider Zip Code,CMS_County,CMS_Number of All Beds
Cook,Ludeman Developmental Center,No Match,2020-05-29,316,10,0.03164556962025317,1,0,1,1,,,,,,,,,
Cook,City View Multi Care Center,145850,2020-05-29,243,13,0.05349794238683128,1,0,1,1,2020-12-06,145850,CITY VIEW MULTICARE CENTER,5825 WEST CERMAK ROAD,CICERO,IL,60804,Cook,485.0
Cook,Woodbridge Nursing Pavilion,145792,2020-05-29,218,33,0.15137614678899086,1,0,1,1,2020-12-06,145792,WOODBRIDGE NURSING PAVILION,2242 NORTH KEDZIE,CHICAGO,IL,60647,Cook,222.0
Cook,Symphony at Midway,145995,2020-05-29,211,17,0.08056872037914692,1,0,1,1,2020-12-06,145995,SYMPHONY AT MIDWAY,4437 SOUTH CICERO,CHICAGO,IL,60632,Cook,249.0
Cook,Peterson Park Health Care,145838,2020-05-29,202,31,0.15346534653465346,1,0,1,1,2020-12-06,145838,PETERSON PARK HEALTH CARE CTR,6141 NORTH PULASKI ROAD,CHICAGO,IL,60646,Cook,196.0
Cook,Symphony of Morgan Park,145764,2020-05-29,190,20,0.10526315789473684,1,0,1,1,2020-12-06,145764,SYMPHONY OF MORGAN PARK,10935 SOUTH HALSTED STREET,CHICAGO,IL,60628,Cook,260.0
Will,Meadowbrook Manor of Bolingbrook,No Match,2020-05-29,188,40,0.2127659574468085,1,0,1,1,,,,,,,,,
Cook,Elevate Care Chicago North,145484,2020-05-29,171,29,0.1695906432748538,1,0,1,1,2020-12-06,145484,ELEVATE CARE CHICAGO NORTH,2451 WEST TOUHY AVENUE,CHICAGO,IL,60645,Cook,312.0
Cook,Symphony of Lincoln Park,145510,2020-05-29,170,22,0.12941176470588234,1,0,1,1,2020-12-06,145510,SYMPHONY OF LINCOLN PARK,1366 WEST FULLERTON AVENUE,CHICAGO,IL,60614,Cook,248.0
Cook,Symphony of South Shore,145977,2020-05-29,166,19,0.1144578313253012,1,0,1,1,2020-12-06,145977,SYMPHONY OF SOUTH SHORE,2425 EAST 71ST STREET,CHICAGO,IL,60649,Cook,236.0
DuPage,Manorcare Hinsdale,145246,2020-05-29,165,28,0.1696969696969697,1,0,1,1,2020-12-06,145246,MANORCARE OF HINSDALE,600 WEST OGDEN AVENUE,HINSDALE,IL,60521,DuPage,187.0
Cook,Niles Nursing and Rehab Center,145696,2020-05-29,158,33,0.2088607594936709,1,0,1,1,2020-12-06,145696,NILES NSG & REHAB CTR,9777 GREENWOOD,NILES,IL,60714,Cook,301.0
Cook,California Gardens Nursing and Rehabilitation Cent,145625,2020-05-29,156,4,0.02564102564102564,1,0,1,1,2020-12-06,145625,SYMPHONY ENCORE,2829 SOUTH CALIFORNIA BLVD,CHICAGO,IL,60608,Cook,297.0
Cook,Mayfield Care Center,145885,2020-05-29,153,18,0.1176470588235294,1,0,1,1,2020-12-06,145885,MAYFIELD HEALTH CENTER,5905 WEST WASHINGTON,CHICAGO,IL,60644,Cook,156.0
Cook,Villa at Windsor Park,145970,2020-05-29,153,37,0.24183006535947715,1,0,1,1,2020-12-06,145970,VILLA AT WINDSOR PARK,2649 EAST 75TH ST,CHICAGO,IL,60649,Cook,225.0
Lake,Avantara Long Grove,145868,2020-05-29,146,13,0.08904109589041095,1,0,1,1,2020-12-06,145868,AVANTARA LONG GROVE,1666 CHECKER ROAD,LONG GROVE,IL,60047,Lake,195.0
Kankakee,Samuel H. Shapiro Developmental Center,No Match,2020-05-29,138,1,0.007246376811594203,1,0,1,1,,,,,,,,,
Kane,Tower Hill Healthcare Center,145795,2020-05-29,134,15,0.11194029850746268,1,0,1,1,2020-12-06,145795,TOWER HILL HEALTHCARE CENTER,759 KANE STREET,SOUTH ELGIN,IL,60177,Kane,206.0
DuPage,Bria of Westmont,145405,2020-05-29,133,20,0.15037593984962405,1,0,1,1,2020-12-06,145405,BRIA OF WESTMONT,6501 SOUTH CASS,WESTMONT,IL,60559,DuPage,
Will,symphony of joliet,145372,2020-05-29,132,25,0.1893939393939394,1,0,1,1,2020-12-06,145372,SYMPHONY OF JOLIET,306 NORTH LARKIN AVENUE,JOLIET,IL,60435,Will,195.0
Cook,Bria Forest Edge,145864,2020-05-29,132,2,0.015151515151515154,1,0,1,1,2020-12-06,145864,BRIA OF FOREST EDGE,8001 SOUTH WESTERN AVENUE,CHICAGO,IL,60620,Cook,
Kane,Bria of Geneva,146067,2020-05-29,132,26,0.19696969696969696,1,0,1,1,2020-12-06,146067,BRIA OF GENEVA,1101 EAST STATE STREET,GENEVA,IL,60134,Kane,
Cook,Fairmont Care,145867,2020-05-29,121,24,0.19834710743801653,1,0,1,1,2020-12-06,145867,FAIRMONT CARE,5061 NORTH PULASKI ROAD,CHICAGO,IL,60630,Cook,186.0
Cook,Mosaic of Lakeshore,145244,2020-05-29,119,26,0.2184873949579832,1,0,1,1,2020-12-06,145244,"MOSAIC OF LAKESHORE, THE",7200 NORTH SHERIDAN ROAD,CHICAGO,IL,60626,Cook,313.0
Sangamon,Villa East,145721,2020-05-29,119,23,0.19327731092436976,1,0,1,1,2020-12-06,145721,VILLA HEALTH CARE EAST,100 MARIAN PARKWAY PO BOX 109,SHERMAN,IL,62684,Sangamon,97.0
Cook,Uptown Health Center,145881,2020-05-29,118,16,0.13559322033898305,1,0,1,1,2020-12-06,145881,UPTOWN HEALTH CENTER,4920 NORTH KENMORE,CHICAGO,IL,60640,Cook,310.0
Cook,Midway Neuro and Rehab,145778,2020-05-29,117,10,0.08547008547008547,1,0,1,1,2020-12-06,145778,MIDWAY NEUROLOGICAL / REHAB CENTER,8540 SOUTH HARLEM,BRIDGEVIEW,IL,60455,Cook,404.0
Cook,Symphony at 87th,145983,2020-05-29,114,10,0.08771929824561403,1,0,1,1,2020-12-06,145983,SYMPHONY AT 87TH STREET,2940 WEST 87TH STREET,CHICAGO,IL,60652,Cook,210.0
Cook,Carlton at the Lake,145679,2020-05-29,113,14,0.12389380530973453,1,0,1,1,2020-12-06,145679,"CARLTON AT THE LAKE, THE",725 WEST MONTROSE AVENUE,CHICAGO,IL,60613,Cook,244.0
Kane,Symphony of Orchard Valley,145473,2020-05-29,113,17,0.1504424778761062,1,0,1,1,2020-12-06,145473,SYMPHONY OF ORCHARD VALLEY,2330 WEST GALENA BOULEVARD,AURORA,IL,60506,Kane,203.0
Cook,Harmony Healthcare and Rehab,145775,2020-05-29,112,24,0.21428571428571427,1,0,1,1,2020-12-06,145775,HARMONY NURSING & REHAB CENTER,3919 WEST FOSTER AVENUE,CHICAGO,IL,60625,Cook,180.0
DuPage,Forestview Rehabilitation & Nursing Center,145752,2020-05-29,104,7,0.0673076923076923,1,0,1,1,2020-12-06,145752,FOREST VIEW REHAB & NURSING CENTER,535 SOUTH ELM,ITASCA,IL,60143,DuPage,131.0
St. Clair,Four Fountains,No Match,2020-05-29,104,20,0.19230769230769232,1,0,1,1,,,,,,,,,
Cook,Astoria Place of Chicago,145634,2020-05-29,103,19,0.18446601941747573,1,0,1,1,2020-12-06,145634,ASTORIA PLACE LIVING & REHAB,6300 NORTH CALIFORNIA AVENUE,CHICAGO,IL,60659,Cook,164.0
Cook,Ambassador Nursing,145343,2020-05-29,101,10,0.099009900990099,1,0,1,1,2020-12-06,145343,AMBASSADOR NURSING & REHAB CENTER,4900 NORTH BERNARD,CHICAGO,IL,60625,Cook,190.0
Cook,Glenview Terrace,145268,2020-05-29,100,28,0.28,1,0,1,1,2020-12-06,145268,GLENVIEW TERRACE NURSING CTR,1511 GREENWOOD ROAD,GLENVIEW,IL,60025,Cook,314.0
Cook,Golfview Developmental Center,No Match,2020-05-29,99,11,0.1111111111111111,1,0,1,1,,,,,,,,,
