County,Provider Name,ReportingDate,confirmed_cases,deaths,CFR,outbreaks,facilities,VLOOKUP,Change Score
Adams,ADAMS POINTE SENIOR LIVING,2020-11-13,4,0,0.0,1,1,BLESSING HOSPITAL SNU,45
Adams,BRADFORD VILLA,2020-11-13,8,1,0.125,1,1,TIMBER POINT HEALTHCARE CENTER,32
Adams,CEDARHURST,2020-11-13,14,0,0.0,1,1,SUNSET HOME,36
Adams,CHADDOCK,2020-11-13,3,0,0.0,1,1,GOLDEN GOOD SHEPHERD HOME,34
Adams,GOLDEN GOOD SHEPPERD HOME,2020-11-13,52,8,0.15384615384615385,1,1,GOLDEN GOOD SHEPHERD HOME,96
Adams,GOOD SAMARITAN HOME,2020-11-13,13,1,0.07692307692307693,1,1,GOOD SAMARITAN HOME,100
Adams,ILLINOIS VETERANS HOME,2020-11-13,87,1,0.011494252873563218,1,1,SUNSET HOME,86
Adams,SENIOR CENTER,2020-11-13,4,2,0.5,1,1,TIMBER POINT HEALTHCARE CENTER,86
Adams,ST VINCENTS NURSING HOME,2020-11-13,38,6,0.15789473684210525,1,1,SUNSET HOME,86
Adams,SUNSET HOME,2020-11-13,10,0,0.0,1,1,SUNSET HOME,100
Adams,TRANSITIONS,2020-11-13,7,0,0.0,1,1,ST VINCENT'S HOME,36
Bond,CEDARHURST OF GREENVILLE,2020-11-13,20,3,0.15,1,1,GREENVILLE NURSING & REHAB,59
Bond,GREENVILLE NURSING & REHAB,2020-11-13,21,1,0.047619047619047616,1,1,GREENVILLE NURSING & REHAB,100
Boone,HERITAGE OF WOODS,2020-11-13,5,1,0.2,1,1,NORTHWOODS CARE CENTRE,48
Boone,HERITAGE WOODS OF BELVIDERE,2020-11-13,4,0,0.0,1,1,PARK PLACE OF BELVIDERE,66
Boone,MAPLE CREST CARE CENTER,2020-11-13,10,0,0.0,1,1,MAPLE CREST CARE CENTRE,96
Boone,PARK PLACE,2020-11-13,48,0,0.0,1,1,PARK PLACE OF BELVIDERE,90
Boone,PARK PLACE OF BELVIDERE,2020-11-13,6,0,0.0,1,1,PARK PLACE OF BELVIDERE,100
Boone,SYMPHONY NORTHWOODS,2020-11-13,89,16,0.1797752808988764,1,1,NORTHWOODS CARE CENTRE,66
Brown,HERITAGE HEALTH,2020-11-13,12,0,0.0,1,1,HERITAGE HEALTH-MOUNT STERLING,90
Bureau,APERION CARE SPRING VALLEY,2020-11-13,29,0,0.0,1,1,APERION CARE SPRING VALLEY,100
Bureau,APERION CARE- PRINCETON,2020-11-13,24,1,0.04166666666666666,1,1,APERION CARE PRINCETON,98
Bureau,HERITAGE HEALTH,2020-11-13,2,0,0.0,1,1,HERITAGE HEALTH-WALNUT,95
Bureau,LIBERTY VILLAGE OF PRINCETON,2020-11-13,2,0,0.0,1,1,MANOR COURT OF PRINCETON,64
Bureau,ST. MARGARETS LIVING CENTER,2020-11-13,3,0,0.0,1,1,APERION CARE PRINCETON,45
Carroll,ALLURE OF MOUNT CARROLL,2020-11-13,40,8,0.2,1,1,ALLURE OF MT CARROLL,93
Carroll,BIG MEADOWS NURSING HOME,2020-11-13,99,8,0.08080808080808081,1,1,BIG MEADOWS,90
Cass,EVERGREEN PLACE SUPPORTIVE LIVING,2020-11-13,2,0,0.0,1,1,WALKER NURSING HOME,36
Cass,HERITAGE HEALTH,2020-11-13,59,0,0.0,1,1,HERITAGE HEALTH-BEARDSTOWN,90
Cass,WALKER NURSING HOME,2020-11-13,57,11,0.19298245614035087,1,1,WALKER NURSING HOME,100
Champaign,ARBOR ROSE OF TOLONO,2020-11-13,5,0,0.0,1,1,CLARK-LINDSEY VILLAGE,34
Champaign,AUTUMN FIELDS-SAVOY,2020-11-13,7,0,0.0,1,1,UNIVERSITY REHAB,40
Champaign,BICKFORD SENIOR LIVING,2020-11-13,10,3,0.3,1,1,CLARK-LINDSEY VILLAGE,42
Champaign,BROOKDALE URBANA,2020-11-13,6,1,0.16666666666666666,1,1,CHAMPAIGN URBANA NRSG & REHAB,86
Champaign,CHAMPAIGN URBANA NURSING AND REHAB,2020-11-13,21,1,0.047619047619047616,1,1,CHAMPAIGN URBANA NRSG & REHAB,89
Champaign,CHAMPAIGN-URBANA NURSING AND REHAB,2020-11-13,4,1,0.25,1,1,CHAMPAIGN URBANA NRSG & REHAB,89
Champaign,COUNTRY HEALTH & REHAB,2020-11-13,2,0,0.0,1,1,COUNTRY HEALTH,90
Champaign,COUNTRY HEALTH AND REHAB,2020-11-13,9,0,0.0,2,1,COUNTRY HEALTH,90
Champaign,EAGLES VIEW SUPPORTIVE LIVING AND MEMORY CARE,2020-11-13,11,0,0.0,1,1,ILLINI HERITAGE REHAB & HC,43
Champaign,EVERGREEN PLACE,2020-11-13,6,0,0.0,1,1,UNIVERSITY REHAB,39
Champaign,GREEN HOUSE HOMES AT CLARK-LINDSEY,2020-11-13,7,0,0.0,2,1,CLARK-LINDSEY VILLAGE,86
Champaign,ILLINI HERITAGE REHAB AND HEALTH,2020-11-13,50,4,0.08,1,1,ILLINI HERITAGE REHAB & HC,88
