Facility Name,Facility Name Normalized,Unnamed: 2,Changes,VLOOKUP,Date Collected,State,County,City,State Facility Type,CTP Facility Categorization,State/Fed Regulated,State Facility ID,CMS Facility ID,Date outbreak opened,Date outreak closed,Outbreak Status,Resident Census,Resident Positives,Resident Probable Positives,Resident Deaths,Resident Probable Deaths,Staff Positive,Staff Probable Positives,Staff Deaths,Staff Probable Deaths,Resident/Staff Positives,Resident/Staff Probable Positives,Resident/Staff Deaths,Resident/Staff Probable Deaths,Resident Positives.1,Resident Probable Positives.1,Resident Deaths.1,Resident Probable Deaths.1,Staff Positive.1,Staff Probable Positives.1,Staff Deaths.1,Staff Probable Deaths.1,Resident/Staff Positives.1,Resident/Staff Probable Positives.1,Resident/Staff Deaths.1,Resident/Staff Probable Deaths.1,Residents Tested,Staff Tested,Personal Protective Equipment,VLOOKUP2,Change Score
Adams Pointe Senior Living,ADAMS POINTE SENIOR LIVING,OK,,,20201105,IL,ADAMS,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLESSING HOSPITAL SNU,45
Bradford Villa,BRADFORD VILLA,OK,,,20201105,IL,ADAMS,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIMBER POINT HEALTHCARE CENTER,32
Cedarhurst,CEDARHURST,OK,,,20201105,IL,ADAMS,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST VINCENTS NURSING HOME,45
Chaddock,CHADDOCK,OK,,,20201105,IL,ADAMS,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOLDEN GOOD SHEPHERD HOME,34
Golden Good Shepperd Home,GOLDEN GOOD SHEPPERD HOME,OK,,,20201105,IL,ADAMS,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOLDEN GOOD SHEPHERD HOME,96
Good Samaritan Home,GOOD SAMARITAN HOME,OK,,GOOD SAMARITAN HOME,20201105,IL,ADAMS,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOD SAMARITAN HOME,100
Illinois Veterans Home,ILLINOIS VETERANS HOME,OK,,,20201105,IL,ADAMS,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUNSET HOME,86
Senior Center,SENIOR CENTER,OK,,,20201105,IL,ADAMS,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIMBER POINT HEALTHCARE CENTER,86
St Vincents Nursing Home,ST VINCENTS NURSING HOME,OK,,ST VINCENTS NURSING HOME,20201105,IL,ADAMS,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ST VINCENTS NURSING HOME,100
Sunset Home,SUNSET HOME,OK,,SUNSET HOME,20201105,IL,ADAMS,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUNSET HOME,100
Cedarhurst of Greenville,CEDARHURST OF GREENVILLE,OK,,,20201105,IL,BOND,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GREENVILLE NURSING AND REHABILITATION,86
Greenville Nursing & Rehab,GREENVILLE NURSING AND REHABILITATION,OK,,GREENVILLE NURSING AND REHABILITATION,20201105,IL,BOND,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GREENVILLE NURSING AND REHABILITATION,100
Heritage of Woods,HERITAGE OF WOODS,OK,,,20201105,IL,BOONE,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTHWOODS CARE CENTRE,48
Maple Crest Care Center,MAPLE CREST CARE CENTER,OK,,,20201105,IL,BOONE,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAPLE CREST CARE CENTRE,96
Park Place of Belvidere,PARK PLACE OF BELVIDERE,OK,,PARK PLACE OF BELVIDERE,20201105,IL,BOONE,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARK PLACE OF BELVIDERE,100
Symphony Northwoods,SYMPHONY NORTHWOODS,OK,,,20201105,IL,BOONE,,,Uncategorized LTC,,,,,,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORTHWOODS CARE CENTRE,66
Heritage Health,HERITAGE HEALTH,OK,,,20201105,IL,BROWN,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HERITAGE HEALTH-MOUNT STERLING,90
Aperion Care- Princeton,APERION CARE PRINCETON,OK,,APERION CARE PRINCETON,20201105,IL,BUREAU,,,Uncategorized LTC,,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APERION CARE PRINCETON,100
