County,confirmed_cases,deaths,% deaths,num of facilities
Cook,14855,2437,0.16405250757320766,390
DuPage,2641,455,0.17228322605073837,105
Lake,2275,339,0.149010989010989,83
Will,1424,209,0.14676966292134833,57
Kane,1352,195,0.14423076923076922,69
St. Clair,931,129,0.1385606874328679,37
Madison,901,115,0.12763596004439512,38
Winnebago,681,105,0.15418502202643172,26
McHenry,550,92,0.16727272727272727,22
Rock Island,463,68,0.1468682505399568,17
Peoria,478,51,0.10669456066945607,20
LaSalle,414,50,0.12077294685990338,12
Kankakee,557,47,0.0843806104129264,19
Williamson,240,41,0.17083333333333334,9
Jefferson,232,41,0.17672413793103448,5
Sangamon,345,37,0.1072463768115942,16
Tazewell,233,34,0.1459227467811159,13
Macon,279,34,0.12186379928315412,10
Coles,299,33,0.11036789297658862,8
DeKalb,198,28,0.1414141414141414,9
Monroe,153,26,0.16993464052287582,4
Morgan,155,24,0.15483870967741936,5
McLean,209,23,0.11004784688995216,13
Christian,161,21,0.13043478260869565,9
Union,132,20,0.15151515151515152,3
McDonough,97,20,0.20618556701030927,7
Jersey,105,18,0.17142857142857143,3
Iroquois,132,18,0.13636363636363635,3
Clinton,265,18,0.06792452830188679,10
Richland,147,18,0.12244897959183673,5
Boone,105,17,0.1619047619047619,4
Jackson,109,16,0.14678899082568808,4
Fayette,111,15,0.13513513513513514,3
Kendall,72,15,0.20833333333333334,5
Greene,100,14,0.14,1
Adams,160,13,0.08125,10
Whiteside,115,13,0.11304347826086956,7
Clark,65,12,0.18461538461538463,3
Perry,79,12,0.1518987341772152,2
Knox,128,11,0.0859375,7
Cass,66,11,0.16666666666666666,2
Clay,61,11,0.18032786885245902,1
Champaign,115,10,0.08695652173913043,16
Ford,99,10,0.10101010101010101,6
Carroll,90,9,0.1,2
Shelby,124,9,0.07258064516129033,5
Jasper,58,8,0.13793103448275862,2
Marion,34,8,0.23529411764705882,6
Woodford,70,7,0.1,4
De Witt,57,6,0.10526315789473684,1
Edgar,34,6,0.17647058823529413,1
Jo Daviess,28,5,0.17857142857142858,3
Lawrence,114,5,0.043859649122807015,2
Pike,51,5,0.09803921568627451,2
Mercer,16,4,0.25,1
Bond,40,4,0.1,2
Moultrie,52,4,0.07692307692307693,3
Wayne,41,4,0.0975609756097561,4
Saline,28,3,0.10714285714285714,2
Cumberland,35,3,0.08571428571428572,1
Montgomery,17,3,0.17647058823529413,3
Macoupin,60,3,0.05,8
Grundy,31,3,0.0967741935483871,1
White,34,2,0.058823529411764705,2
Warren,12,2,0.16666666666666666,2
Franklin,43,1,0.023255813953488372,4
Wabash,31,1,0.03225806451612903,2
Washington,2,1,0.5,1
Bureau,18,1,0.05555555555555555,2
Douglas,12,1,0.08333333333333333,2
Lee,144,1,0.006944444444444444,3
Randolph,34,1,0.029411764705882353,7
Hancock,3,1,0.3333333333333333,1
Ogle,30,1,0.03333333333333333,3
Livingston,29,1,0.034482758620689655,3
Logan,24,1,0.041666666666666664,5
Stephenson,20,0,0.0,4
Effingham,9,0,0.0,3
Scott,7,0,0.0,1
Vermilion,43,0,0.0,7
Fulton,5,0,0.0,1
Piatt,11,0,0.0,1
Crawford,2,0,0.0,1
Brown,6,0,0.0,1
Mason,12,0,0.0,2
