County,confirmed_cases,deaths,CFR,outbreaks
Cook,15294,2450,0.1601935399503073,409
DuPage,2872,463,0.1612116991643454,118
Lake,2319,342,0.14747736093143596,90
Will,1533,212,0.13829093281148075,59
Kane,1497,198,0.13226452905811623,77
St. Clair,951,132,0.138801261829653,39
Madison,966,112,0.11594202898550725,39
Winnebago,812,107,0.13177339901477833,39
McHenry,554,92,0.16606498194945848,22
Rock Island,476,69,0.14495798319327732,17
Peoria,494,58,0.11740890688259109,21
LaSalle,494,56,0.11336032388663968,13
Kankakee,581,47,0.08089500860585198,20
Jefferson,236,44,0.1864406779661017,5
Williamson,245,41,0.1673469387755102,9
Sangamon,420,38,0.09047619047619047,18
Tazewell,271,35,0.12915129151291513,14
Macon,288,34,0.11805555555555555,10
Coles,330,33,0.1,9
Clinton,306,29,0.09477124183006536,10
DeKalb,214,28,0.1308411214953271,10
Monroe,179,27,0.15083798882681565,5
Morgan,159,24,0.1509433962264151,6
McLean,228,23,0.10087719298245613,14
Christian,162,22,0.13580246913580246,9
McDonough,117,21,0.1794871794871795,7
Union,132,20,0.15151515151515152,3
Richland,147,19,0.1292517006802721,5
Jersey,105,18,0.17142857142857143,3
Iroquois,136,18,0.1323529411764706,4
Whiteside,186,18,0.0967741935483871,11
Adams,185,17,0.0918918918918919,10
Jackson,121,17,0.14049586776859505,5
Boone,106,17,0.16037735849056603,4
Greene,102,15,0.14705882352941177,1
Fayette,112,15,0.13392857142857142,3
Clark,78,15,0.19230769230769232,4
Kendall,72,15,0.20833333333333334,5
Ford,139,14,0.10071942446043165,7
Knox,180,14,0.07777777777777778,10
Perry,79,12,0.1518987341772152,2
Clay,64,12,0.1875,2
Cass,67,11,0.16417910447761194,2
Champaign,193,10,0.05181347150259067,21
Shelby,148,9,0.060810810810810814,5
Mason,96,9,0.09375,2
Marion,138,9,0.06521739130434782,7
Woodford,69,9,0.13043478260869565,4
Carroll,118,9,0.07627118644067797,2
Jasper,58,8,0.13793103448275862,2
Pike,89,7,0.07865168539325842,4
De Witt,70,7,0.1,1
Jo Daviess,30,6,0.2,4
Wayne,67,6,0.08955223880597014,4
Edgar,39,6,0.15384615384615385,1
Saline,49,5,0.10204081632653061,2
Lawrence,114,5,0.043859649122807015,2
Moultrie,52,5,0.09615384615384616,3
Bond,41,4,0.0975609756097561,2
Mercer,16,4,0.25,1
Cumberland,43,3,0.06976744186046512,1
Macoupin,60,3,0.05,8
Montgomery,17,3,0.17647058823529413,3
Grundy,31,3,0.0967741935483871,1
Ogle,55,2,0.03636363636363636,4
Franklin,50,2,0.04,5
White,45,2,0.044444444444444446,2
Warren,14,2,0.14285714285714285,2
Vermilion,56,1,0.017857142857142856,7
Bureau,20,1,0.05,3
Livingston,30,1,0.03333333333333333,3
Washington,2,1,0.5,1
Wabash,31,1,0.03225806451612903,2
Lee,144,1,0.006944444444444444,3
Randolph,91,1,0.01098901098901099,7
Hancock,3,1,0.3333333333333333,1
Stephenson,40,1,0.025,4
Douglas,12,1,0.08333333333333333,2
Logan,24,1,0.041666666666666664,5
Scott,7,0,0.0,1
Effingham,9,0,0.0,3
Crawford,2,0,0.0,1
Fulton,5,0,0.0,1
Brown,12,0,0.0,1
Piatt,11,0,0.0,1
