ReportingDate,FACILITY NAME,COUNTY,TYPE,COMPLIANCE,NEW RESIDENT CASES,TOTAL RESIDENT CASES,NEW RESIDENT DEATHS,TOTAL RESIDENT DEATHS,NEW STAFF CASES,TOTAL STAFF CASES,NEW STAFF DEATHS,TOTAL STAFF DEATHS,Reporting
11-16-2020,Valley View Care Center,KENT,SNF, ,50.0,127.0,4.0,6.0,46.0,82.0,0.0,0.0,Yes
11-16-2020,Aspen Grove Assisted Living,MONROE,HFA, ,41.0,81.0,7.0,11.0,18.0,34.0,0.0,0.0,Yes
11-16-2020,Villa at West Branch,OGEMAW,SNF, ,37.0,48.0,2.0,4.0,0.0,1.0,0.0,0.0,Yes
11-16-2020,Aspirus Ontonagon Hospital LTC,ONTONAGON,SNF, ,30.0,59.0,2.0,2.0,12.0,26.0,0.0,0.0,Yes
11-16-2020,"HealthSource Saginaw, Inc",SAGINAW,SNF, ,30.0,64.0,2.0,3.0,9.0,80.0,0.0,0.0,Yes
11-16-2020,Holland Home Raybrook Manor,KENT,HFA, ,28.0,48.0,0.0,1.0,9.0,23.0,0.0,0.0,Yes
11-16-2020,SKLD Whitehall,MUSKEGON,SNF, ,25.0,56.0,1.0,3.0,15.0,52.0,0.0,0.0,Yes
11-16-2020,Ely Manor Nursing & Rehab,ALLEGAN,SNF, ,24.0,25.0,0.0,0.0,6.0,9.0,0.0,0.0,Yes
11-16-2020,Aerius Health Center ,WAYNE,SNF, ,23.0,45.0,0.0,6.0,19.0,32.0,0.0,0.0,Yes
11-16-2020,Rest Haven Home,KENT,HFA, ,22.0,29.0,1.0,1.0,15.0,18.0,0.0,0.0,Yes
11-16-2020,Medilodge of Monroe,MONROE,SNF, ,21.0,30.0,0.0,0.0,16.0,33.0,0.0,0.0,Yes
11-16-2020,Medilodge Of Cheboygan ,CHEBOYGAN,SNF, ,19.0,61.0,9.0,11.0,12.0,29.0,0.0,0.0,Yes
11-16-2020,Meadow Woods Nursing & Rehab,VAN BUREN,SNF, ,19.0,23.0,0.0,0.0,5.0,11.0,0.0,0.0,Yes
11-16-2020,The Villa at the Bay,EMMET,SNF, ,18.0,76.0,8.0,12.0,12.0,51.0,0.0,0.0,Yes
11-16-2020,Pomeroy Living Sterling Assisted,MACOMB,HFA, ,18.0,24.0,0.0,0.0,7.0,13.0,0.0,0.0,Yes
11-16-2020,Schnepp Senior Care & Rehab Center,GRATIOT,SNF, ,17.0,27.0,0.0,1.0,5.0,19.0,0.0,0.0,Yes
11-16-2020,SKLD Wyoming,KENT,SNF, ,17.0,18.0,0.0,0.0,3.0,8.0,0.0,0.0,Yes
11-16-2020,Evangelical Home - Saline,WASHTENAW,SNF, ,17.0,18.0,0.0,0.0,14.0,26.0,0.0,0.0,Yes
11-16-2020,Gogebic Medical Care Facility ,GOGEBIC,SNF, ,16.0,18.0,1.0,1.0,11.0,20.0,0.0,0.0,Yes
11-16-2020,Waltonwood at Carriage Park II,WAYNE,HFA, ,16.0,21.0,1.0,1.0,8.0,10.0,0.0,0.0,Yes
11-16-2020,Burcham Hills Retirement Center II,INGHAM,HFA, ,15.0,23.0,0.0,4.0,0.0,11.0,0.0,1.0,Yes
11-16-2020,Riveridge Rehab. and Health Center,BERRIEN,SNF, ,14.0,29.0,1.0,3.0,11.0,28.0,0.0,0.0,Yes
11-16-2020,Meadowlark Retirement Village B,KENT,AFC, ,14.0,14.0,0.0,0.0,6.0,6.0,0.0,0.0,Yes
11-16-2020,Laurels of Hudsonville (The),OTTAWA,SNF, ,13.0,13.0,0.0,0.0,13.0,18.0,0.0,0.0,Yes
11-16-2020,Faith Haven Senior Care Centre,JACKSON,SNF, ,12.0,33.0,0.0,0.0,3.0,11.0,0.0,0.0,Yes
11-16-2020,AHSL Spring Lake Willowbrook,OTTAWA,AFC, ,12.0,22.0,0.0,3.0,1.0,9.0,0.0,0.0,Yes
11-16-2020,Laurels of Coldwater,BRANCH,SNF, ,11.0,24.0,1.0,1.0,6.0,16.0,0.0,0.0,Yes
11-16-2020,Advantage Living Center - Armada,MACOMB,SNF, ,11.0,23.0,0.0,1.0,5.0,17.0,0.0,0.0,Yes
11-16-2020,Marquette County Medical Care Facility,MARQUETTE,SNF, ,10.0,11.0,0.0,0.0,7.0,20.0,0.0,0.0,Yes
11-16-2020,Agape Home At Blueberry Fields,MUSKEGON,AFC, ,10.0,13.0,0.0,0.0,4.0,4.0,0.0,0.0,Yes
11-16-2020,Sanctuary at McAuley,MUSKEGON,SNF, ,10.0,58.0,3.0,6.0,9.0,42.0,0.0,0.0,Yes
