ReportingDate,CCN/LICENSE,FACILITY NAME,COUNTY,TYPE,COMPLIANCE,NEW RESIDENT CASES,TOTAL RESIDENT CASES,NEW RESIDENT DEATHS,TOTAL RESIDENT DEATHS,NEW STAFF CASES,TOTAL STAFF CASES,NEW STAFF DEATHS,TOTAL STAFF DEATHS
11-23-2020,235628,Jamieson Nursing Home,ALCONA,SNF, ,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
11-23-2020,235543,Lincoln Haven Nursing & Rehab. Community,ALCONA,SNF, ,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0
11-23-2020,235410,Medilodge of Munising,ALGER,SNF, ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11-23-2020,235213,Allegan County Medical Care Community,ALLEGAN,SNF, ,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
11-23-2020,AG030000010,Beacon Home at The Oaks,ALLEGAN,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,AH030293792,Briarwood Assisted Living,ALLEGAN,HFA, ,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11-23-2020,AL030006858,Country Liv - Inn Inc,ALLEGAN,AFC,NOT IN COMPLIANCE,,,,,,,,
11-23-2020,235264,Ely Manor Nursing & Rehab,ALLEGAN,SNF, ,2.0,27.0,2.0,2.0,5.0,14.0,0.0,0.0
11-23-2020,AL030291988,Golden Orchards I,ALLEGAN,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,AL030291993,Golden Orchards II,ALLEGAN,AFC,NOT IN COMPLIANCE,,0.0,,0.0,,0.0,,0.0
11-23-2020,235447,Grace of Douglas,ALLEGAN,SNF, ,0.0,2.0,0.0,0.0,2.0,5.0,0.0,0.0
11-23-2020,AL030366248,Green Acres of Wayland,ALLEGAN,AFC, ,,0.0,,0.0,,2.0,,0.0
11-23-2020,AL030389307,Green Acres of Wayland II,ALLEGAN,AFC,NOT IN COMPLIANCE,,,,,,,,
11-23-2020,AH030295207,Harbors Health Facility,ALLEGAN,HFA,NOT IN COMPLIANCE,,2.0,,0.0,,3.0,,0.0
11-23-2020,AL030006860,LakeSide Vista Amsterdam Haus,ALLEGAN,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,AL030006862,LakeSide Vista Delph Haus,ALLEGAN,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,AL030016016,LakeSide Vista Friesland Haus,ALLEGAN,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,AL030006859,LakeSide Vista Rotterdam Haus,ALLEGAN,AFC,NOT IN COMPLIANCE,,0.0,,0.0,,0.0,,0.0
11-23-2020,AL030084491,LakeSide Vista Zeeland Haus,ALLEGAN,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,235313,Laurels of Sandy Creek,ALLEGAN,SNF, ,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0
11-23-2020,235471,Life Care Center of Plainwell ,ALLEGAN,SNF, ,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0
11-23-2020,AL030068008,Maplewood of Sandy Creek,ALLEGAN,AFC, ,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
11-23-2020,235378,Resthaven Care Center,ALLEGAN,SNF, ,1.0,1.0,0.0,0.0,5.0,19.0,0.0,0.0
11-23-2020,AL030393311,Serenity Homes East,ALLEGAN,AFC,NOT IN COMPLIANCE,,,,,,,,
11-23-2020,AL030393312,Serenity Homes West,ALLEGAN,AFC, ,,0.0,,0.0,,1.0,,0.0
11-23-2020,AL030392795,Stanford Lodge,ALLEGAN,AFC,NOT IN COMPLIANCE,,,,,,,,
11-23-2020,AH030379710,Vicinia Gardens of Otsego,ALLEGAN,HFA, ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11-23-2020,AH030236924,William Crispe Community House,ALLEGAN,HFA, ,,0.0,,0.0,,0.0,,0.0
11-23-2020,AH040394376,Besser Senior Living Community,ALPENA,HFA,NOT IN COMPLIANCE,,0.0,,0.0,,0.0,,0.0
11-23-2020,235280,Medilodge Alpena,ALPENA,SNF, ,0.0,61.0,0.0,9.0,7.0,38.0,0.0,0.0
11-23-2020,235583,Medilodge of Greenview,ALPENA,SNF, ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11-23-2020,AL040293493,Sally's Care Home I,ALPENA,AFC, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-23-2020,AL040288395,Turning Brook,ALPENA,AFC, ,,0.0,,0.0,,0.0,,0.0
11-23-2020,AL040293571,Turning Brook II,ALPENA,AFC,NOT IN COMPLIANCE,,,,,,,,
11-23-2020,AL040306253,Turning Brook III,ALPENA,AFC,NOT IN COMPLIANCE,,,,,,,,
11-23-2020,AL050384731,Eastport Village Care Home,ANTRIM,AFC,NOT IN COMPLIANCE,,,,,,,,
11-23-2020,23-5025,Meadow Brook MCF,ANTRIM,SNF, ,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0
11-23-2020,235192,Ascension Standish Hospital & SNF,ARENAC,SNF, ,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
11-23-2020,AL060006877,Augres Care Center,ARENAC,AFC, ,,0.0,,0.0,,0.0,,0.0
