ReportingDate,State,COUNTY,City,FACILITY NAME,TYPE,CTP Facility Categorization,State/Fed Regulated,State Facility ID,CMS Facility ID,Date outbreak opened,Date outreak closed,Outbreak Status,Resident Census,TOTAL RESIDENT CASES,TOTAL Resident Probable Positives,TOTAL RESIDENT DEATHS,TOTAL Resident Probable Deaths,TOTAL STAFF CASES,TOTAL Staff Probable Positives,TOTAL STAFF DEATHS,TOTAL Staff Probable Deaths,TOTAL Resident/Staff Positives,TOTAL Resident/Staff Probable Positives,TOTAL Resident/Staff Deaths,TOTAL Resident/Staff Probable Deaths,NEW RESIDENT CASES,NEW Resident Probable Positives,NEW RESIDENT DEATHS,NEW Resident Probable Deaths,NEW STAFF CASES,NEW Staff Probable Positives,NEW STAFF DEATHS,NEW Staff Probable Deaths,NEW Resident/Staff Positives,NEW Resident/Staff Probable Positives,NEW Resident/Staff Deaths,NEW Resident/Staff Probable Deaths,Residents Tested,Staff Tested,Personal Protective Equipment,COMPLIANCE
20201228,MI,ALCONA,,Jamieson Nursing Home,SNF,Nursing Home,,,,,,,,9.0,,0.0,,8.0,,0.0,,,,,,6.0,,0.0,,2.0,,0.0,,,,,,,,, 
20201228,MI,ALCONA,,Lincoln Haven Nursing & Rehab. Community,SNF,Nursing Home,,,,,,,,28.0,,5.0,,18.0,,0.0,,,,,,0.0,,2.0,,0.0,,0.0,,,,,,,,, 
20201228,MI,ALGER,,Medilodge of Munising,SNF,Nursing Home,,,,,,,,0.0,,0.0,,2.0,,0.0,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,, 
20201228,MI,ALLEGAN,,Allegan County Medical Care Community,SNF,Nursing Home,,,,,,,,1.0,,0.0,,9.0,,0.0,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,, 
20201228,MI,ALLEGAN,,Beacon Home at The Oaks,AFC,Other,,,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,, 
20201228,MI,ALLEGAN,,Briarwood Assisted Living,HFA,Other,,,,,,,,3.0,,0.0,,7.0,,0.0,,,,,,1.0,,0.0,,3.0,,0.0,,,,,,,,, 
20201228,MI,ALLEGAN,,Country Liv - Inn Inc,AFC,Other,,,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,NOT IN COMPLIANCE
20201228,MI,ALLEGAN,,Ely Manor Nursing & Rehab,SNF,Nursing Home,,,,,,,,62.0,,16.0,,14.0,,0.0,,,,,,11.0,,1.0,,0.0,,0.0,,,,,,,,, 
20201228,MI,ALLEGAN,,Golden Orchards I,AFC,Other,,,,,,,,14.0,,0.0,,10.0,,0.0,,,,,,4.0,,0.0,,1.0,,0.0,,,,,,,,, 
20201228,MI,ALLEGAN,,Golden Orchards II,AFC,Other,,,,,,,,0.0,,0.0,,1.0,,0.0,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,, 
20201228,MI,ALLEGAN,,Grace of Douglas,SNF,Nursing Home,,,,,,,,39.0,,4.0,,23.0,,0.0,,,,,,28.0,,3.0,,13.0,,0.0,,,,,,,,, 
20201228,MI,ALLEGAN,,Green Acres of Wayland,AFC,Other,,,,,,,,0.0,,0.0,,2.0,,0.0,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,, 
20201228,MI,ALLEGAN,,Green Acres of Wayland II,AFC,Other,,,,,,,,0.0,,0.0,,2.0,,0.0,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,, 
20201228,MI,ALLEGAN,,Harbors Health Facility,HFA,Other,,,,,,,,9.0,,0.0,,12.0,,0.0,,,,,,3.0,,0.0,,1.0,,0.0,,,,,,,,, 
20201228,MI,ALLEGAN,,LakeSide Vista Amsterdam Haus,AFC,Other,,,,,,,,0.0,,0.0,,1.0,,0.0,,,,,,0.0,,0.0,,1.0,,0.0,,,,,,,,, 
20201228,MI,ALLEGAN,,LakeSide Vista Delph Haus,AFC,Other,,,,,,,,7.0,,0.0,,10.0,,0.0,,,,,,7.0,,0.0,,10.0,,0.0,,,,,,,,, 
20201228,MI,ALLEGAN,,LakeSide Vista Friesland Haus,AFC,Other,,,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,, 
20201228,MI,ALLEGAN,,LakeSide Vista Rotterdam Haus,AFC,Other,,,,,,,,1.0,,0.0,,0.0,,0.0,,,,,,1.0,,0.0,,0.0,,0.0,,,,,,,,, 
20201228,MI,ALLEGAN,,LakeSide Vista Zeeland Haus,AFC,Other,,,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,, 
20201228,MI,ALLEGAN,,Laurels of Sandy Creek,SNF,Nursing Home,,,,,,,,0.0,,0.0,,21.0,,0.0,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,, 
20201228,MI,ALLEGAN,,Life Care Center of Plainwell,SNF,Nursing Home,,,,,,,,2.0,,0.0,,14.0,,0.0,,,,,,1.0,,0.0,,0.0,,0.0,,,,,,,,, 
20201228,MI,ALLEGAN,,Macatawa East,AFC,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT IN COMPLIANCE
20201228,MI,ALLEGAN,,Macatawa West,AFC,Other,,,,,,,,0.0,,0.0,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,NOT IN COMPLIANCE
20201228,MI,ALLEGAN,,Maplewood of Sandy Creek,AFC,Other,,,,,,,,3.0,,0.0,,4.0,,0.0,,,,,,2.0,,0.0,,0.0,,0.0,,,,,,,,, 
20201228,MI,ALLEGAN,,Resthaven Care Center,SNF,Nursing Home,,,,,,,,31.0,,5.0,,51.0,,0.0,,,,,,10.0,,3.0,,3.0,,0.0,,,,,,,,, 
20201228,MI,ALLEGAN,,Stanford Lodge,AFC,Other,,,,,,,,2.0,,0.0,,0.0,,0.0,,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,, 
