County,Facility Name,Resident Cumulative Confirmed Cases,Resident Cumulative COVID-19 Deaths,Staff Cumulative Confirmed Cases,Staff Cumulative COVID-19 Deaths
OAKLAND,~SKLD - West Bloomfield~,200.0,11.0,6.0,0.0
WAYNE,Regency A Villa Center ,189.0,14.0,19.0,0.0
WAYNE,"Westland, A Villa Center",133.0,21.0,17.0,0.0
OAKLAND,SKLD - Bloomfield Hills,132.0,14.0,16.0,0.0
WAYNE,"Imperial, A Villa Center",103.0,19.0,10.0,0.0
WAYNE,Fairlane Senior Care and Rehab Center,102.0,24.0,59.0,0.0
MACOMB,Father Murray Nursing Center,98.0,23.0,55.0,1.0
SAINT CLAIR,Medilodge of St. Clair,94.0,23.0,27.0,0.0
OAKLAND,~Evergreen Health & Living Center~,94.0,7.0,16.0,1.0
LIVINGSTON,Caretel Inns of Brighton,90.0,10.0,4.0,0.0
MACOMB,"Lakepointe Senior Care & Rehab Ctr, LLC",90.0,27.0,32.0,0.0
WAYNE,Regency Heights Nursing Center Detroit,89.0,32.0,41.0,0.0
WAYNE,Beaumont Rehab & Continuing Care - DBN,88.0,29.0,25.0,0.0
MACOMB,Church of Christ Care Center,85.0,24.0,53.0,0.0
MACOMB,Autumn Woods Residential Health,82.0,35.0,39.0,0.0
MACOMB,~St. Anthony Nursing Healthcare~,82.0,19.0,17.0,0.0
KENT,Samaritas Lodge (SNF),78.0,33.0,27.0,0.0
MACOMB,Shelby Nursing Center,77.0,13.0,20.0,0.0
WAYNE,"Ambassador, A Villa Center",76.0,28.0,51.0,0.0
BERRIEN,West Woods of Niles,76.0,20.0,39.0,0.0
WAYNE,Rivergate Health Care Center,74.0,20.0,52.0,0.0
WAYNE,Heartland Health Care Center - Dearborn ,74.0,15.0,29.0,0.0
MACOMB,Medilodge of Sterling Heights,73.0,16.0,33.0,0.0
MACOMB,Advantage Living Center - Roseville,72.0,20.0,9.0,1.0
WAYNE,Rivergate Terrace,72.0,37.0,36.0,1.0
MACOMB,The Villa At City Center,72.0,17.0,27.0,0.0
WAYNE,~The Lodge at Taylor~,71.0,12.0,7.0,0.0
WAYNE,Advantage Living Center Harper Woods,70.0,23.0,13.0,1.0
OAKLAND,Pomeroy Living - Rochester Skilled,70.0,20.0,20.0,0.0
WAYNE,~Advantage Living Center Wayne~,68.0,24.0,12.0,0.0
WAYNE,"Applewood Nursing Center, Inc.",68.0,9.0,31.0,0.0
GENESEE,Kith Haven,67.0,23.0,20.0,0.0
OAKLAND,West Bloomfield Nursing Center,66.0,19.0,23.0,0.0
WAYNE,~Advantage Living Center Northwest~,66.0,20.0,27.0,0.0
GENESEE,Maple Woods Manor,65.0,31.0,90.0,0.0
